Optical Glauber:
b[fm]	dsigma/db[barn/fm]
10.130000	0.636487
10.150000	0.637743
10.170000	0.639000
10.190000	0.640257
10.210000	0.641513
10.230000	0.642770
10.250000	0.644026
10.270000	0.645283
10.290000	0.646540
10.310000	0.647796
10.330000	0.649053
10.350000	0.650310
10.370000	0.651566
10.390000	0.652823
10.410000	0.654080
10.430000	0.655336
10.450000	0.656593
10.470000	0.657849
10.490000	0.659106
10.510000	0.660363
10.530000	0.661619
10.550000	0.662876
10.570000	0.664133
10.590000	0.665389
10.610000	0.666646
10.630000	0.667903
10.650000	0.669159
10.670000	0.670416
10.690000	0.671673
10.710000	0.672929
10.730000	0.674186
10.750000	0.675442
10.770000	0.676699
10.790000	0.677956
10.810000	0.679212
10.830000	0.680469
10.850000	0.681726
10.870000	0.682982
10.890000	0.684239
10.910000	0.685496
10.930000	0.686752
10.950000	0.688009
10.970000	0.689265
10.990000	0.690522
11.010000	0.691779
11.030000	0.693035
11.050000	0.694292
11.070000	0.695549
11.090000	0.696805
11.110000	0.698062
11.130000	0.699319
11.150000	0.700575
11.170000	0.701832
11.190000	0.703088
11.210000	0.704345
11.230000	0.705602
11.250000	0.706858
11.270000	0.708115
11.290000	0.709372
11.310000	0.710628
11.330000	0.711885
11.350000	0.713142
11.370000	0.714398
11.390000	0.715655
11.410000	0.716911
11.430000	0.718168
11.450000	0.719425
11.470000	0.720681
11.490000	0.721938
11.510000	0.723195
11.530000	0.724451
11.550000	0.725708
11.570000	0.726965
11.590000	0.728221
11.610000	0.729478
11.630000	0.730734
11.650000	0.731991
11.670000	0.733248
11.690000	0.734504
11.710000	0.735761
11.730000	0.737018
11.750000	0.738274
11.770000	0.739531
11.790000	0.740788
11.810000	0.742044
11.830000	0.743301
11.850000	0.744557
11.870000	0.745814
11.890000	0.747071
11.910000	0.748327
11.930000	0.749584
11.950000	0.750841
11.970000	0.752097
11.990000	0.753354
12.010000	0.754611
12.030000	0.755867
12.050000	0.757124
12.070000	0.758380
12.090000	0.759637
12.110000	0.760894
12.130000	0.762150
12.150000	0.763407
12.170000	0.764664
12.190000	0.765920
12.210000	0.767177
12.230000	0.768434
12.250000	0.769690
12.270000	0.770947
12.290000	0.772203
12.310000	0.773460
12.330000	0.774717
12.350000	0.775973
12.370000	0.777230
12.390000	0.778487
12.410000	0.779743
12.430000	0.781000
12.450000	0.782257
12.470000	0.783513
12.490000	0.784770
12.510000	0.786026
12.530000	0.787283
12.550000	0.788540
12.570000	0.789796
12.590000	0.791053
12.610000	0.792309
12.630000	0.793566
12.650000	0.794822
12.670000	0.796079
12.690000	0.797335
12.710000	0.798591
12.730000	0.799847
12.750000	0.801103
12.770000	0.802359
12.790000	0.803614
12.810000	0.804869
12.830000	0.806124
12.850000	0.807378
12.870000	0.808631
12.890000	0.809884
12.910000	0.811136
12.930000	0.812386
12.950000	0.813635
12.970000	0.814882
12.990000	0.816127
13.010000	0.817370
13.030000	0.818610
13.050000	0.819846
13.070000	0.821078
13.090000	0.822305
13.110000	0.823526
13.130000	0.824741
13.150000	0.825948
13.170000	0.827146
13.190000	0.828333
13.210000	0.829509
13.230000	0.830671
13.250000	0.831817
13.270000	0.832946
13.290000	0.834055
13.310000	0.835141
13.330000	0.836203
13.350000	0.837236
13.370000	0.838238
13.390000	0.839205
13.410000	0.840134
13.430000	0.841020
13.450000	0.841859
13.470000	0.842648
13.490000	0.843380
13.510000	0.844051
13.530000	0.844655
13.550000	0.845189
13.570000	0.845645
13.590000	0.846018
13.610000	0.846301
13.630000	0.846489
13.650000	0.846576
13.670000	0.846553
13.690000	0.846417
13.710000	0.846159
13.730000	0.845773
13.750000	0.845253
13.770000	0.844591
13.790000	0.843782
13.810000	0.842821
13.830000	0.841695
13.850000	0.840408
13.870000	0.838945
13.890000	0.837305
13.910000	0.835484
13.930000	0.833472
13.950000	0.831270
13.970000	0.828868
13.990000	0.826266
14.010000	0.823459
14.030000	0.820445
14.050000	0.817218
14.070000	0.813781
14.090000	0.810127
14.110000	0.806260
14.130000	0.802174
14.150000	0.797871
14.170000	0.793353
14.190000	0.788622
14.210000	0.783669
14.230000	0.778510
14.250000	0.773139
14.270000	0.767559
14.290000	0.761779
14.310000	0.755792
14.330000	0.749617
14.350000	0.743241
14.370000	0.736685
14.390000	0.729946
14.410000	0.723027
14.430000	0.715946
14.450000	0.708694
14.470000	0.701291
14.490000	0.693736
14.510000	0.686038
14.530000	0.678205
14.550000	0.670245
14.570000	0.662165
14.590000	0.653971
14.610000	0.645674
14.630000	0.637281
14.650000	0.628797
14.670000	0.620233
14.690000	0.611598
14.710000	0.602900
14.730000	0.594138
14.750000	0.585339
14.770000	0.576489
14.790000	0.567612
14.810000	0.558707
14.830000	0.549784
14.850000	0.540850
14.870000	0.531916
14.890000	0.522979
14.910000	0.514055
14.930000	0.505149
14.950000	0.496266
14.970000	0.487406
14.990000	0.478590
15.010000	0.469814
15.030000	0.461077
15.050000	0.452401
15.070000	0.443772
15.090000	0.435214
15.110000	0.426714
15.130000	0.418290
15.150000	0.409939
15.170000	0.401666
15.190000	0.393473
15.210000	0.385372
15.230000	0.377348
15.250000	0.369429
15.270000	0.361594
15.290000	0.353858
15.310000	0.346222
15.330000	0.338689
15.350000	0.331256
