proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
8.040000	0.000191	0.000078
8.120000	0.000160	0.000071
8.200000	0.000000	0.000000
8.280000	0.000096	0.000055
8.360000	0.000191	0.000078
8.440000	0.000223	0.000084
8.520000	0.000064	0.000045
8.600000	0.000096	0.000055
8.680000	0.000128	0.000064
8.760000	0.000160	0.000071
8.840000	0.000064	0.000045
8.920000	0.000287	0.000096
9.000000	0.000223	0.000084
9.080000	0.000160	0.000071
9.160000	0.000160	0.000071
9.240000	0.000160	0.000071
9.320000	0.000000	0.000000
9.400000	0.000128	0.000064
9.480000	0.000160	0.000071
9.560000	0.000160	0.000071
9.640000	0.000191	0.000078
9.720000	0.000032	0.000032
9.800000	0.000096	0.000055
9.880000	0.000160	0.000071
9.960000	0.000064	0.000045
10.040000	0.000096	0.000055
10.120000	0.000128	0.000064
10.200000	0.000128	0.000064
10.280000	0.000191	0.000078
10.360000	0.000128	0.000064
10.440000	0.000032	0.000032
10.520000	0.000160	0.000071
10.600000	0.000032	0.000032
10.680000	0.000032	0.000032
10.760000	0.000160	0.000071
10.840000	0.000032	0.000032
10.920000	0.000160	0.000071
11.000000	0.000064	0.000045
11.080000	0.000096	0.000055
11.160000	0.000064	0.000045
11.240000	0.000191	0.000078
11.320000	0.000064	0.000045
11.400000	0.000064	0.000045
11.480000	0.000032	0.000032
11.560000	0.000096	0.000055
11.640000	0.000128	0.000064
11.720000	0.000160	0.000071
11.800000	0.000128	0.000064
11.880000	0.000032	0.000032
11.960000	0.000160	0.000071
12.040000	0.000064	0.000045
12.120000	0.000032	0.000032
12.200000	0.000032	0.000032
12.280000	0.000128	0.000064
12.360000	0.000096	0.000055
12.440000	0.000032	0.000032
12.520000	0.000128	0.000064
12.600000	0.000032	0.000032
12.680000	0.000032	0.000032
12.760000	0.000096	0.000055
12.840000	0.000064	0.000045
12.920000	0.000064	0.000045
13.000000	0.000000	0.000000
13.080000	0.000096	0.000055
13.160000	0.000032	0.000032
13.240000	0.000064	0.000045
13.320000	0.000000	0.000000
13.400000	0.000032	0.000032
13.480000	0.000000	0.000000
13.560000	0.000064	0.000045
13.640000	0.000160	0.000071
13.720000	0.000064	0.000045
13.800000	0.000191	0.000078
13.880000	0.000032	0.000032
13.960000	0.000064	0.000045
14.040000	0.000096	0.000055
14.120000	0.000000	0.000000
14.200000	0.000096	0.000055
14.280000	0.000064	0.000045
14.360000	0.000064	0.000045
14.440000	0.000064	0.000045
14.520000	0.000064	0.000045
14.600000	0.000000	0.000000
14.680000	0.000064	0.000045
14.760000	0.000160	0.000071
14.840000	0.000096	0.000055
14.920000	0.000128	0.000064
15.000000	0.000032	0.000032
15.080000	0.000032	0.000032
15.160000	0.000000	0.000000
15.240000	0.000000	0.000000
15.320000	0.000000	0.000000
15.400000	0.000096	0.000055
15.480000	0.000032	0.000032
15.560000	0.000000	0.000000
15.640000	0.000000	0.000000
15.720000	0.000223	0.000084
15.800000	0.000096	0.000055
15.880000	0.000032	0.000032
15.960000	0.000096	0.000055
16.040000	0.000096	0.000055
16.120000	0.000000	0.000000
16.200000	0.000064	0.000045
16.280000	0.000096	0.000055
16.360000	0.000096	0.000055
16.440000	0.000096	0.000055
16.520000	0.000096	0.000055
16.600000	0.000064	0.000045
16.680000	0.000000	0.000000
16.760000	0.000000	0.000000
16.840000	0.000096	0.000055
16.920000	0.000096	0.000055
17.000000	0.000032	0.000032
17.080000	0.000064	0.000045
17.160000	0.000000	0.000000
17.240000	0.000128	0.000064
17.320000	0.000032	0.000032
17.400000	0.000096	0.000055
17.480000	0.000064	0.000045
17.560000	0.000096	0.000055
17.640000	0.000096	0.000055
17.720000	0.000000	0.000000
17.800000	0.000064	0.000045
17.880000	0.000032	0.000032
17.960000	0.000032	0.000032
18.040000	0.000032	0.000032
18.120000	0.000000	0.000000
18.200000	0.000032	0.000032
18.280000	0.000064	0.000045
18.360000	0.000064	0.000045
18.440000	0.000064	0.000045
18.520000	0.000032	0.000032
18.600000	0.000032	0.000032
18.680000	0.000032	0.000032
18.760000	0.000000	0.000000
18.840000	0.000032	0.000032
18.920000	0.000064	0.000045
19.000000	0.000032	0.000032
19.080000	0.000000	0.000000
19.160000	0.000000	0.000000
19.240000	0.000000	0.000000
19.320000	0.000000	0.000000
19.400000	0.000032	0.000032
19.480000	0.000000	0.000000
19.560000	0.000032	0.000032
19.640000	0.000032	0.000032
19.720000	0.000032	0.000032
19.800000	0.000000	0.000000
19.880000	0.000000	0.000000
19.960000	0.000032	0.000032
pbar dca distribution scaled:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.071135	0.002283
0.120000	0.199706	0.003825
0.200000	0.277581	0.004509
0.280000	0.284248	0.004563
0.360000	0.263808	0.004396
0.440000	0.231940	0.004122
0.520000	0.189230	0.003723
0.600000	0.148644	0.003300
0.680000	0.119706	0.002961
0.760000	0.094578	0.002632
0.840000	0.082344	0.002456
0.920000	0.068498	0.002240
1.000000	0.056630	0.002037
1.080000	0.051428	0.001941
1.160000	0.045421	0.001824
1.240000	0.039780	0.001707
1.320000	0.037143	0.001650
1.400000	0.034139	0.001581
1.480000	0.031428	0.001517
1.560000	0.024835	0.001349
1.640000	0.025201	0.001359
1.720000	0.023590	0.001315
1.800000	0.021392	0.001252
1.880000	0.018388	0.001161
1.960000	0.018022	0.001149
2.040000	0.016776	0.001109
2.120000	0.016190	0.001089
2.200000	0.016264	0.001092
2.280000	0.011795	0.000930
2.360000	0.011355	0.000912
2.440000	0.011795	0.000930
2.520000	0.011355	0.000912
2.600000	0.008059	0.000768
2.680000	0.009451	0.000832
2.760000	0.007033	0.000718
2.840000	0.008278	0.000779
2.920000	0.007253	0.000729
3.000000	0.005861	0.000655
3.080000	0.006593	0.000695
3.160000	0.006374	0.000683
3.240000	0.005861	0.000655
3.320000	0.004835	0.000595
3.400000	0.004469	0.000572
3.480000	0.004322	0.000563
3.560000	0.003223	0.000486
3.640000	0.004615	0.000581
3.720000	0.004469	0.000572
3.800000	0.003150	0.000480
3.880000	0.003370	0.000497
3.960000	0.002930	0.000463
4.040000	0.002564	0.000433
4.120000	0.002930	0.000463
4.200000	0.002491	0.000427
4.280000	0.002344	0.000414
4.360000	0.002198	0.000401
4.440000	0.001612	0.000344
4.520000	0.002637	0.000440
4.600000	0.002857	0.000458
4.680000	0.001978	0.000381
4.760000	0.001026	0.000274
4.840000	0.001538	0.000336
4.920000	0.001831	0.000366
5.000000	0.002125	0.000395
5.080000	0.001612	0.000344
5.160000	0.001685	0.000351
5.240000	0.001392	0.000319
5.320000	0.001026	0.000274
5.400000	0.001026	0.000274
5.480000	0.001245	0.000302
5.560000	0.000733	0.000232
5.640000	0.001538	0.000336
5.720000	0.000879	0.000254
5.800000	0.001099	0.000284
5.880000	0.000952	0.000264
5.960000	0.001026	0.000274
6.040000	0.000806	0.000243
6.120000	0.000586	0.000207
6.200000	0.000586	0.000207
6.280000	0.000659	0.000220
6.360000	0.001245	0.000302
6.440000	0.000586	0.000207
6.520000	0.000733	0.000232
6.600000	0.000806	0.000243
6.680000	0.000513	0.000194
6.760000	0.000586	0.000207
6.840000	0.000513	0.000194
6.920000	0.000806	0.000243
7.000000	0.000440	0.000179
7.080000	0.000659	0.000220
7.160000	0.000293	0.000147
7.240000	0.000293	0.000147
7.320000	0.000440	0.000179
7.400000	0.000220	0.000127
7.480000	0.000513	0.000194
7.560000	0.000879	0.000254
7.640000	0.000220	0.000127
7.720000	0.000586	0.000207
7.800000	0.000293	0.000147
7.880000	0.000220	0.000127
7.960000	0.000293	0.000147
8.040000	0.000440	0.000179
8.120000	0.000366	0.000164
8.200000	0.000000	0.000000
8.280000	0.000220	0.000127
8.360000	0.000440	0.000179
8.440000	0.000513	0.000194
8.520000	0.000147	0.000104
8.600000	0.000220	0.000127
8.680000	0.000293	0.000147
