proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
11.550000	0.003708	0.000012
11.650000	0.003710	0.000012
11.750000	0.003718	0.000013
11.850000	0.003708	0.000012
11.950000	0.003706	0.000012
12.050000	0.003712	0.000013
12.150000	0.003725	0.000014
12.250000	0.003702	0.000012
12.350000	0.003691	0.000011
12.450000	0.003702	0.000012
12.550000	0.003719	0.000013
12.650000	0.003714	0.000013
12.750000	0.003676	0.000010
12.850000	0.003704	0.000012
12.950000	0.003683	0.000010
13.050000	0.003700	0.000012
13.150000	0.003702	0.000012
13.250000	0.003700	0.000012
13.350000	0.003700	0.000012
13.450000	0.003693	0.000011
13.550000	0.003695	0.000011
13.650000	0.003702	0.000012
13.750000	0.003702	0.000012
13.850000	0.003697	0.000011
13.950000	0.003702	0.000012
14.050000	0.003693	0.000011
14.150000	0.003708	0.000012
14.250000	0.003712	0.000013
14.350000	0.003719	0.000013
14.450000	0.003708	0.000012
14.550000	0.003706	0.000012
14.650000	0.003725	0.000014
14.750000	0.003693	0.000011
14.850000	0.003712	0.000013
14.950000	0.003723	0.000013
15.050000	0.003710	0.000012
15.150000	0.003719	0.000013
15.250000	0.003740	0.000015
15.350000	0.003712	0.000013
15.450000	0.003712	0.000013
15.550000	0.003702	0.000012
15.650000	0.003718	0.000013
15.750000	0.003718	0.000013
15.850000	0.003716	0.000013
15.950000	0.003710	0.000012
16.050000	0.003704	0.000012
16.150000	0.003695	0.000011
16.250000	0.003712	0.000013
16.350000	0.003687	0.000011
16.450000	0.003727	0.000014
16.550000	0.003693	0.000011
16.650000	0.003708	0.000012
16.750000	0.003695	0.000011
16.850000	0.003725	0.000014
16.950000	0.003706	0.000012
17.050000	0.003712	0.000013
17.150000	0.003719	0.000013
17.250000	0.003750	0.000015
17.350000	0.003712	0.000013
17.450000	0.003710	0.000012
17.550000	0.003729	0.000014
17.650000	0.003712	0.000013
17.750000	0.003704	0.000012
17.850000	0.003716	0.000013
17.950000	0.003740	0.000015
18.050000	0.003733	0.000014
18.150000	0.003708	0.000012
18.250000	0.003718	0.000013
18.350000	0.003723	0.000013
18.450000	0.003714	0.000013
18.550000	0.003733	0.000014
18.650000	0.003708	0.000012
18.750000	0.003727	0.000014
18.850000	0.003718	0.000013
18.950000	0.003723	0.000013
19.050000	0.003712	0.000013
19.150000	0.003719	0.000013
19.250000	0.003704	0.000012
19.350000	0.003731	0.000014
19.450000	0.003685	0.000010
19.550000	0.003731	0.000014
19.650000	0.003712	0.000013
19.750000	0.003716	0.000013
19.850000	0.003725	0.000014
19.950000	0.003723	0.000013
proton background dca distribution fitted:
dca[cm]	dN/d(dca)[cm^-1]	error
0.050000	0.000000	0.000056
0.150000	0.000001	0.000752
0.250000	0.000005	0.002316
0.350000	0.000021	0.004630
0.450000	0.000056	0.007506
0.550000	0.000116	0.010757
0.650000	0.000202	0.014219
0.750000	0.000315	0.017762
0.850000	0.000453	0.021281
0.950000	0.000610	0.024703
1.050000	0.000783	0.027974
1.150000	0.000965	0.031060
1.250000	0.001152	0.033941
1.350000	0.001340	0.036607
1.450000	0.001525	0.039056
1.550000	0.001705	0.041293
1.650000	0.001877	0.043326
1.750000	0.002040	0.045166
1.850000	0.002193	0.046825
1.950000	0.002334	0.048316
2.050000	0.002465	0.049653
2.150000	0.002586	0.050849
2.250000	0.002695	0.051916
2.350000	0.002795	0.052868
2.450000	0.002885	0.053715
2.550000	0.002967	0.054468
2.650000	0.003040	0.055136
2.750000	0.003106	0.055729
2.850000	0.003165	0.056254
2.950000	0.003217	0.056720
3.050000	0.003264	0.057132
3.150000	0.003306	0.057496
3.250000	0.003343	0.057818
3.350000	0.003376	0.058102
3.450000	0.003405	0.058354
3.550000	0.003431	0.058576
3.650000	0.003454	0.058772
3.750000	0.003475	0.058945
3.850000	0.003493	0.059098
3.950000	0.003508	0.059232
4.050000	0.003523	0.059351
4.150000	0.003535	0.059456
4.250000	0.003546	0.059548
4.350000	0.003556	0.059630
4.450000	0.003564	0.059701
4.550000	0.003572	0.059765
4.650000	0.003578	0.059821
4.750000	0.003584	0.059870
4.850000	0.003590	0.059913
4.950000	0.003594	0.059951
5.050000	0.003598	0.059985
5.150000	0.003602	0.060015
5.250000	0.003605	0.060041
5.350000	0.003608	0.060064
5.450000	0.003610	0.060084
5.550000	0.003612	0.060102
5.650000	0.003614	0.060118
5.750000	0.003616	0.060132
5.850000	0.003617	0.060144
5.950000	0.003619	0.060155
6.050000	0.003620	0.060164
6.150000	0.003621	0.060172
6.250000	0.003622	0.060180
6.350000	0.003622	0.060186
6.450000	0.003623	0.060192
6.550000	0.003624	0.060197
6.650000	0.003624	0.060201
6.750000	0.003625	0.060205
6.850000	0.003625	0.060209
6.950000	0.003625	0.060212
7.050000	0.003626	0.060215
7.150000	0.003626	0.060217
7.250000	0.003626	0.060219
7.350000	0.003627	0.060221
7.450000	0.003627	0.060222
7.550000	0.003627	0.060224
7.650000	0.003627	0.060225
7.750000	0.003627	0.060226
7.850000	0.003627	0.060227
7.950000	0.003627	0.060228
8.050000	0.003628	0.060229
8.150000	0.003628	0.060229
8.250000	0.003628	0.060230
8.350000	0.003628	0.060231
8.450000	0.003628	0.060231
8.550000	0.003628	0.060231
8.650000	0.003628	0.060232
8.750000	0.003628	0.060232
8.850000	0.003628	0.060232
8.950000	0.003628	0.060233
9.050000	0.003628	0.060233
9.150000	0.003628	0.060233
9.250000	0.003628	0.060233
9.350000	0.003628	0.060233
9.450000	0.003628	0.060233
9.550000	0.003628	0.060234
9.650000	0.003628	0.060234
9.750000	0.003628	0.060234
9.850000	0.003628	0.060234
9.950000	0.003628	0.060234
