Min. bias data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	4.566693e-002	7.723892e-005
1.000000	7.277148e-002	9.712688e-005
2.000000	6.191474e-002	8.658158e-005
3.000000	5.669485e-002	8.171119e-005
4.000000	5.168784e-002	7.757105e-005
5.000000	4.649003e-002	7.338513e-005
6.000000	4.125569e-002	6.905126e-005
7.000000	3.604241e-002	6.450607e-005
8.000000	3.130232e-002	6.009790e-005
9.000000	2.654904e-002	5.533875e-005
10.000000	2.244641e-002	5.087931e-005
11.000000	1.862497e-002	4.634367e-005
12.000000	1.530701e-002	4.201212e-005
13.000000	1.246431e-002	3.791015e-005
14.000000	9.964437e-003	3.389559e-005
15.000000	7.917860e-003	3.021468e-005
16.000000	6.259100e-003	2.686383e-005
17.000000	4.846677e-003	2.363923e-005
18.000000	3.756179e-003	2.081058e-005
19.000000	2.914147e-003	1.833015e-005
20.000000	2.152259e-003	1.575278e-005
21.000000	1.663281e-003	1.384818e-005
22.000000	1.258125e-003	1.204403e-005
23.000000	9.321968e-004	1.036735e-005
24.000000	6.863717e-004	8.895932e-006
25.000000	5.073113e-004	7.648006e-006
26.000000	3.705677e-004	6.536491e-006
27.000000	2.733693e-004	5.614148e-006
28.000000	1.972824e-004	4.769396e-006
29.000000	1.367443e-004	3.970698e-006
30.000000	1.045750e-004	3.472356e-006
31.000000	7.413673e-005	2.923667e-006
32.000000	5.280627e-005	2.467475e-006
33.000000	4.139539e-005	2.184765e-006
34.000000	2.870895e-005	1.819356e-006
35.000000	1.913939e-005	1.485505e-006
36.000000	1.222148e-005	1.187055e-006
37.000000	8.877957e-006	1.011737e-006
38.000000	5.534255e-006	7.988009e-007
39.000000	5.303680e-006	7.819850e-007
40.000000	3.343612e-006	6.208932e-007
41.000000	2.190653e-006	5.025704e-007
42.000000	1.960058e-006	4.753838e-007
43.000000	1.383564e-006	3.994005e-007
44.000000	1.037673e-006	3.458909e-007
45.000000	3.458909e-007	1.997002e-007
46.000000	3.458909e-007	1.997002e-007
47.000000	2.305940e-007	1.630546e-007
48.000000	2.305940e-007	1.630546e-007
49.000000	3.458911e-007	1.997003e-007
50.000000	0.000000e+000	0.000000e+000
51.000000	1.152970e-007	1.152970e-007
52.000000	0.000000e+000	0.000000e+000
53.000000	0.000000e+000	0.000000e+000
54.000000	0.000000e+000	0.000000e+000
55.000000	0.000000e+000	0.000000e+000
56.000000	0.000000e+000	0.000000e+000
