#Fig. 1 phi meson spectra

#Au+Au sqrt(s_NN) = 7.7 GeV 
#cen   0-10% most central
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
#Au+Au sqrt(s_NN) = 19.6 GeV

#cen   0-10%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4457     7.2938e-001     8.2399e-002     1.1227e-001     1.3926e-001
0.5       0.6        0.5494     6.4723e-001     3.7547e-002     9.4710e-002     1.0188e-001
0.6       0.7        0.6535     5.5889e-001     2.8410e-002     7.8072e-002     8.3080e-002
0.7       0.9        0.8033     4.2373e-001     1.0463e-002     5.5685e-002     5.6659e-002
0.9       1.0        0.9501     3.1067e-001     9.7936e-003     3.8841e-002     4.0056e-002
1.0       1.3        1.1463     2.0315e-001     6.4111e-003     2.4204e-002     2.5039e-002
1.3       1.7        1.4869     6.8570e-002     3.4107e-003     7.8903e-003     8.5960e-003
1.7       2.0        1.8407     2.1495e-002     2.0852e-003     2.5187e-003     3.2698e-003
2.0       2.5        2.2211     5.6106e-003     7.7740e-004     6.9873e-004     1.0453e-003
2.5       3.0        2.7186     1.0644e-003     1.4245e-004     1.4555e-004     2.0366e-004
3.0       4.0        3.3745     1.4226e-004     4.8006e-005     2.1215e-005     5.2485e-005

#cen   10-20%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4463     4.6505e-001     4.7313e-002     6.8380e-002     8.3152e-002
0.5       0.6        0.5494     4.4127e-001     2.5736e-002     6.3082e-002     6.8129e-002
0.6       0.7        0.6543     3.8999e-001     1.5774e-002     5.4336e-002     5.6579e-002
0.7       0.9        0.8039     2.9500e-001     6.9695e-003     3.9737e-002     4.0344e-002
0.9       1.0        0.9502     2.0031e-001     6.6606e-003     2.6241e-002     2.7073e-002
1.0       1.3        1.1469     1.3101e-001     3.9278e-003     1.6686e-002     1.7142e-002
1.3       1.7        1.4879     4.8489e-002     2.3337e-003     6.0196e-003     6.4561e-003
1.7       2.0        1.8412     1.2349e-002     1.5808e-003     1.5332e-003     2.2022e-003
2.0       2.5        2.2227     4.6228e-003     5.4475e-004     5.8708e-004     8.0088e-004
2.5       3.0        2.7202     7.8744e-004     1.8382e-004     1.0463e-004     2.1151e-004
3.0       4.0        3.3798     7.1914e-005     2.2804e-005     1.0156e-005     2.4964e-005

#cen   20-30%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4453     3.9780e-001     3.8559e-002     6.0726e-002     7.1933e-002
0.5       0.6        0.5494     3.1096e-001     1.7521e-002     4.5691e-002     4.8936e-002
0.6       0.7        0.6531     2.7189e-001     1.2756e-002     3.8584e-002     4.0638e-002
0.7       0.9        0.8029     2.0404e-001     4.6771e-003     2.7669e-002     2.8062e-002
0.9       1.0        0.9500     1.3519e-001     5.5629e-003     1.7666e-002     1.8521e-002
1.0       1.3        1.1458     8.0135e-002     2.1733e-003     1.0100e-002     1.0331e-002
1.3       1.7        1.4860     2.8610e-002     1.4362e-003     3.5038e-003     3.7867e-003
1.7       2.0        1.8402     7.3721e-003     9.5951e-004     9.1009e-004     1.3225e-003
2.0       2.5        2.2198     1.9603e-003     1.8085e-004     2.5145e-004     3.0973e-004
2.5       3.0        2.7173     4.6466e-004     9.3260e-005     6.3490e-005     1.1282e-004
3.0       4.0        3.3699     3.8883e-005     1.6139e-005     5.6490e-006     1.7100e-005

#cen   30-40%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4455     2.7621e-001     2.5534e-002     4.2471e-002     4.9556e-002
0.5       0.6        0.5494     1.9974e-001     1.1627e-002     2.9208e-002     3.1437e-002
0.6       0.7        0.6535     1.7238e-001     6.8860e-003     2.4106e-002     2.5070e-002
0.7       0.9        0.8031     1.2483e-001     2.9187e-003     1.6513e-002     1.6769e-002
0.9       1.0        0.9500     8.6733e-002     2.9582e-003     1.1012e-002     1.1402e-002
1.0       1.3        1.1460     5.1574e-002     1.4523e-003     6.3426e-003     6.5067e-003
1.3       1.7        1.4864     1.8443e-002     1.0281e-003     2.2720e-003     2.4938e-003
1.7       2.0        1.8404     5.0665e-003     5.8830e-004     6.5992e-004     8.8408e-004
2.0       2.5        2.2203     1.3710e-003     1.7631e-004     1.9647e-004     2.6398e-004
2.5       3.0        2.7178     2.4618e-004     7.7005e-005     3.9697e-005     8.6635e-005
3.0       4.0        3.3718     3.2174e-005     2.8002e-005     5.6497e-006     2.8567e-005

#cen   40-60%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4434     1.0988e-001     9.0065e-003     1.6087e-002     1.8437e-002
0.5       0.6        0.5495     9.7786e-002     4.8108e-003     1.4105e-002     1.4903e-002
