proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
10.250000	0.000023	0.000006
10.350000	0.000023	0.000006
10.450000	0.000018	0.000005
10.550000	0.000023	0.000006
10.650000	0.000020	0.000006
10.750000	0.000014	0.000005
10.850000	0.000021	0.000006
10.950000	0.000020	0.000006
11.050000	0.000017	0.000005
11.150000	0.000021	0.000006
11.250000	0.000021	0.000006
11.350000	0.000023	0.000006
11.450000	0.000029	0.000007
11.550000	0.000024	0.000006
11.650000	0.000029	0.000007
11.750000	0.000028	0.000006
11.850000	0.000008	0.000003
11.950000	0.000018	0.000005
12.050000	0.000020	0.000006
12.150000	0.000018	0.000005
12.250000	0.000011	0.000004
12.350000	0.000017	0.000005
12.450000	0.000018	0.000005
12.550000	0.000008	0.000003
12.650000	0.000011	0.000004
12.750000	0.000018	0.000005
12.850000	0.000026	0.000006
12.950000	0.000024	0.000006
13.050000	0.000021	0.000006
13.150000	0.000018	0.000005
13.250000	0.000026	0.000006
13.350000	0.000012	0.000004
13.450000	0.000020	0.000006
13.550000	0.000021	0.000006
13.650000	0.000012	0.000004
13.750000	0.000018	0.000005
13.850000	0.000014	0.000005
13.950000	0.000012	0.000004
14.050000	0.000015	0.000005
14.150000	0.000020	0.000006
14.250000	0.000020	0.000006
14.350000	0.000008	0.000003
14.450000	0.000018	0.000005
14.550000	0.000020	0.000006
14.650000	0.000017	0.000005
14.750000	0.000028	0.000006
14.850000	0.000015	0.000005
14.950000	0.000018	0.000005
15.050000	0.000023	0.000006
15.150000	0.000014	0.000005
15.250000	0.000024	0.000006
15.350000	0.000014	0.000005
15.450000	0.000023	0.000006
15.550000	0.000012	0.000004
15.650000	0.000024	0.000006
15.750000	0.000029	0.000007
15.850000	0.000024	0.000006
15.950000	0.000020	0.000006
16.050000	0.000021	0.000006
16.150000	0.000009	0.000004
16.250000	0.000014	0.000005
16.350000	0.000021	0.000006
16.450000	0.000026	0.000006
16.550000	0.000017	0.000005
16.650000	0.000017	0.000005
16.750000	0.000020	0.000006
16.850000	0.000014	0.000005
16.950000	0.000017	0.000005
17.050000	0.000026	0.000006
17.150000	0.000015	0.000005
17.250000	0.000020	0.000006
17.350000	0.000017	0.000005
17.450000	0.000018	0.000005
17.550000	0.000018	0.000005
17.650000	0.000014	0.000005
17.750000	0.000015	0.000005
17.850000	0.000017	0.000005
17.950000	0.000017	0.000005
18.050000	0.000011	0.000004
18.150000	0.000020	0.000006
18.250000	0.000028	0.000006
18.350000	0.000017	0.000005
18.450000	0.000009	0.000004
18.550000	0.000015	0.000005
18.650000	0.000024	0.000006
18.750000	0.000012	0.000004
18.850000	0.000006	0.000003
18.950000	0.000017	0.000005
19.050000	0.000015	0.000005
19.150000	0.000024	0.000006
19.250000	0.000015	0.000005
19.350000	0.000018	0.000005
19.450000	0.000015	0.000005
19.550000	0.000021	0.000006
19.650000	0.000031	0.000007
19.750000	0.000008	0.000003
19.850000	0.000017	0.000005
19.950000	0.000023	0.000006
proton dca distribution fitted:
dca[cm]	dN/d(dca)[cm^-1]	error
0.050000	0.001663	0.000050
0.150000	0.004158	0.000080
0.250000	0.005208	0.000089
0.350000	0.004998	0.000087
0.450000	0.004055	0.000079
0.550000	0.003108	0.000069
0.650000	0.002263	0.000058
0.750000	0.001603	0.000049
0.850000	0.001283	0.000043
0.950000	0.001089	0.000038
1.050000	0.000951	0.000035
1.150000	0.000781	0.000030
1.250000	0.000803	0.000030
1.350000	0.000731	0.000027
1.450000	0.000735	0.000026
1.550000	0.000650	0.000023
1.650000	0.000662	0.000022
1.750000	0.000641	0.000021
1.850000	0.000620	0.000020
1.950000	0.000612	0.000019
2.050000	0.000636	0.000019
2.150000	0.000616	0.000018
2.250000	0.000589	0.000017
2.350000	0.000570	0.000015
2.450000	0.000560	0.000015
2.550000	0.000570	0.000015
2.650000	0.000577	0.000015
2.750000	0.000550	0.000014
2.850000	0.000511	0.000011
2.950000	0.000515	0.000011
3.050000	0.000516	0.000011
3.150000	0.000519	0.000011
3.250000	0.000518	0.000011
3.350000	0.000517	0.000011
3.450000	0.000518	0.000011
3.550000	0.000503	0.000010
3.650000	0.000487	0.000009
3.750000	0.000492	0.000009
3.850000	0.000483	0.000008
3.950000	0.000486	0.000008
4.050000	0.000488	0.000009
4.150000	0.000480	0.000008
4.250000	0.000476	0.000007
4.350000	0.000484	0.000008
4.450000	0.000478	0.000007
4.550000	0.000473	0.000007
4.650000	0.000470	0.000007
4.750000	0.000490	0.000009
4.850000	0.000467	0.000006
4.950000	0.000495	0.000009
5.050000	0.000476	0.000007
5.150000	0.000472	0.000007
5.250000	0.000472	0.000007
5.350000	0.000478	0.000007
5.450000	0.000480	0.000008
5.550000	0.000495	0.000009
5.650000	0.000463	0.000006
5.750000	0.000486	0.000008
5.850000	0.000469	0.000006
5.950000	0.000467	0.000006
6.050000	0.000470	0.000007
6.150000	0.000478	0.000007
6.250000	0.000467	0.000006
6.350000	0.000473	0.000007
6.450000	0.000475	0.000007
6.550000	0.000461	0.000006
6.650000	0.000473	0.000007
6.750000	0.000461	0.000006
6.850000	0.000470	0.000007
6.950000	0.000467	0.000006
7.050000	0.000470	0.000007
7.150000	0.000458	0.000005
7.250000	0.000464	0.000006
7.350000	0.000460	0.000005
7.450000	0.000472	0.000007
7.550000	0.000460	0.000005
7.650000	0.000454	0.000004
7.750000	0.000463	0.000006
7.850000	0.000467	0.000006
7.950000	0.000455	0.000005
8.050000	0.000464	0.000006
8.150000	0.000470	0.000007
8.250000	0.000461	0.000006
8.350000	0.000466	0.000006
8.450000	0.000461	0.000006
8.550000	0.000470	0.000007
8.650000	0.000467	0.000006
8.750000	0.000475	0.000007
8.850000	0.000458	0.000005
8.950000	0.000466	0.000006
9.050000	0.000458	0.000005
9.150000	0.000483	0.000008
9.250000	0.000461	0.000006
9.350000	0.000458	0.000005
9.450000	0.000455	0.000005
9.550000	0.000460	0.000005
9.650000	0.000457	0.000005
9.750000	0.000463	0.000006
9.850000	0.000466	0.000006
9.950000	0.000463	0.000006
10.050000	0.000467	0.000006
10.150000	0.000452	0.000004
10.250000	0.000464	0.000006
10.350000	0.000464	0.000006
10.450000	0.000460	0.000005
10.550000	0.000464	0.000006
10.650000	0.000461	0.000006
10.750000	0.000455	0.000005
10.850000	0.000463	0.000006
10.950000	0.000461	0.000006
11.050000	0.000458	0.000005
11.150000	0.000463	0.000006
11.250000	0.000463	0.000006
11.350000	0.000464	0.000006
11.450000	0.000470	0.000007
11.550000	0.000466	0.000006
11.650000	0.000470	0.000007
11.750000	0.000469	0.000006
11.850000	0.000449	0.000003
11.950000	0.000460	0.000005
12.050000	0.000461	0.000006
12.150000	0.000460	0.000005
12.250000	0.000452	0.000004
12.350000	0.000458	0.000005
12.450000	0.000460	0.000005
12.550000	0.000449	0.000003
12.650000	0.000452	0.000004
12.750000	0.000460	0.000005
12.850000	0.000467	0.000006
12.950000	0.000466	0.000006
13.050000	0.000463	0.000006
13.150000	0.000460	0.000005
13.250000	0.000467	0.000006
13.350000	0.000454	0.000004
13.450000	0.000461	0.000006
13.550000	0.000463	0.000006
13.650000	0.000454	0.000004
13.750000	0.000460	0.000005
13.850000	0.000455	0.000005
13.950000	0.000454	0.000004
14.050000	0.000457	0.000005
14.150000	0.000461	0.000006
14.250000	0.000461	0.000006
14.350000	0.000449	0.000003
14.450000	0.000460	0.000005
14.550000	0.000461	0.000006
14.650000	0.000458	0.000005
14.750000	0.000469	0.000006
14.850000	0.000457	0.000005
14.950000	0.000460	0.000005
15.050000	0.000464	0.000006
15.150000	0.000455	0.000005
15.250000	0.000466	0.000006
15.350000	0.000455	0.000005
15.450000	0.000464	0.000006
15.550000	0.000454	0.000004
15.650000	0.000466	0.000006
15.750000	0.000470	0.000007
15.850000	0.000466	0.000006
15.950000	0.000461	0.000006
16.050000	0.000463	0.000006
16.150000	0.000451	0.000004
16.250000	0.000455	0.000005
16.350000	0.000463	0.000006
16.450000	0.000467	0.000006
16.550000	0.000458	0.000005
16.650000	0.000458	0.000005
16.750000	0.000461	0.000006
16.850000	0.000455	0.000005
16.950000	0.000458	0.000005
17.050000	0.000467	0.000006
17.150000	0.000457	0.000005
17.250000	0.000461	0.000006
17.350000	0.000458	0.000005
17.450000	0.000460	0.000005
17.550000	0.000460	0.000005
17.650000	0.000455	0.000005
17.750000	0.000457	0.000005
17.850000	0.000458	0.000005
17.950000	0.000458	0.000005
18.050000	0.000452	0.000004
18.150000	0.000461	0.000006
18.250000	0.000469	0.000006
18.350000	0.000458	0.000005
18.450000	0.000451	0.000004
18.550000	0.000457	0.000005
18.650000	0.000466	0.000006
18.750000	0.000454	0.000004
18.850000	0.000447	0.000003
18.950000	0.000458	0.000005
19.050000	0.000457	0.000005
19.150000	0.000466	0.000006
19.250000	0.000457	0.000005
19.350000	0.000460	0.000005
19.450000	0.000457	0.000005
19.550000	0.000463	0.000006
19.650000	0.000472	0.000007
19.750000	0.000449	0.000003
19.850000	0.000458	0.000005
19.950000	0.000464	0.000006
proton background dca distribution fitted:
dca[cm]	dN/d(dca)[cm^-1]	error
0.030000	0.000000	0.000000
0.090000	0.000000	0.000008
0.150000	0.000000	0.000060
0.210000	0.000000	0.000208
0.270000	0.000000	0.000496
0.330000	0.000001	0.000948
0.390000	0.000002	0.001566
0.450000	0.000005	0.002337
0.510000	0.000010	0.003235
0.570000	0.000018	0.004230
0.630000	0.000028	0.005291
0.690000	0.000041	0.006387
0.750000	0.000056	0.007492
0.810000	0.000074	0.008583
0.870000	0.000093	0.009643
0.930000	0.000114	0.010659
0.990000	0.000135	0.011621
1.050000	0.000157	0.012524
1.110000	0.000179	0.013363
1.170000	0.000200	0.014137
1.230000	0.000220	0.014848
1.290000	0.000240	0.015497
1.350000	0.000259	0.016087
1.410000	0.000276	0.016621
1.470000	0.000292	0.017103
1.530000	0.000307	0.017536
1.590000	0.000321	0.017924
1.650000	0.000334	0.018272
1.710000	0.000345	0.018582
1.770000	0.000356	0.018860
1.830000	0.000365	0.019106
1.890000	0.000373	0.019325
1.950000	0.000381	0.019520
2.010000	0.000388	0.019693
2.070000	0.000394	0.019846
2.130000	0.000399	0.019982
2.190000	0.000404	0.020102
2.250000	0.000408	0.020209
2.310000	0.000412	0.020303
2.370000	0.000416	0.020386
2.430000	0.000419	0.020459
2.490000	0.000421	0.020524
2.550000	0.000424	0.020581
2.610000	0.000426	0.020632
2.670000	0.000428	0.020677
2.730000	0.000429	0.020716
2.790000	0.000431	0.020751
2.850000	0.000432	0.020781
2.910000	0.000433	0.020808
2.970000	0.000434	0.020832
3.030000	0.000435	0.020853
3.090000	0.000436	0.020871
3.150000	0.000436	0.020888
3.210000	0.000437	0.020902
3.270000	0.000437	0.020915
3.330000	0.000438	0.020926
3.390000	0.000438	0.020936
3.450000	0.000439	0.020944
3.510000	0.000439	0.020952
3.570000	0.000439	0.020959
3.630000	0.000440	0.020965
3.690000	0.000440	0.020970
3.750000	0.000440	0.020974
3.810000	0.000440	0.020979
3.870000	0.000440	0.020982
3.930000	0.000440	0.020985
3.990000	0.000440	0.020988
4.050000	0.000441	0.020990
4.110000	0.000441	0.020993
4.170000	0.000441	0.020994
4.230000	0.000441	0.020996
4.290000	0.000441	0.020998
4.350000	0.000441	0.020999
4.410000	0.000441	0.021000
4.470000	0.000441	0.021001
4.530000	0.000441	0.021002
4.590000	0.000441	0.021003
4.650000	0.000441	0.021003
4.710000	0.000441	0.021004
4.770000	0.000441	0.021005
4.830000	0.000441	0.021005
4.890000	0.000441	0.021005
4.950000	0.000441	0.021006
5.010000	0.000441	0.021006
5.070000	0.000441	0.021006
5.130000	0.000441	0.021007
5.190000	0.000441	0.021007
5.250000	0.000441	0.021007
5.310000	0.000441	0.021007
5.370000	0.000441	0.021007
5.430000	0.000441	0.021008
5.490000	0.000441	0.021008
5.550000	0.000441	0.021008
5.610000	0.000441	0.021008
5.670000	0.000441	0.021008
5.730000	0.000441	0.021008
5.790000	0.000441	0.021008
5.850000	0.000441	0.021008
5.910000	0.000441	0.021008
5.970000	0.000441	0.021008
