proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
8.840000	0.000383	0.000111
8.920000	0.000926	0.000172
9.000000	0.000479	0.000124
9.080000	0.000447	0.000119
9.160000	0.000638	0.000143
9.240000	0.000670	0.000146
9.320000	0.000447	0.000119
9.400000	0.000638	0.000143
9.480000	0.000351	0.000106
9.560000	0.000574	0.000135
9.640000	0.000702	0.000150
9.720000	0.000479	0.000124
9.800000	0.000798	0.000160
9.880000	0.000702	0.000150
9.960000	0.000543	0.000132
10.040000	0.000830	0.000163
10.120000	0.000606	0.000139
10.200000	0.000670	0.000146
10.280000	0.000606	0.000139
10.360000	0.000574	0.000135
10.440000	0.000447	0.000119
10.520000	0.000638	0.000143
10.600000	0.000511	0.000128
10.680000	0.000638	0.000143
10.760000	0.000606	0.000139
10.840000	0.000830	0.000163
10.920000	0.000830	0.000163
11.000000	0.001149	0.000191
11.080000	0.000543	0.000132
11.160000	0.000670	0.000146
11.240000	0.000670	0.000146
11.320000	0.000766	0.000156
11.400000	0.000479	0.000124
11.480000	0.000574	0.000135
11.560000	0.000734	0.000153
11.640000	0.000702	0.000150
11.720000	0.000766	0.000156
11.800000	0.000574	0.000135
11.880000	0.000511	0.000128
11.960000	0.000670	0.000146
12.040000	0.000383	0.000111
12.120000	0.000638	0.000143
12.200000	0.000702	0.000150
12.280000	0.000543	0.000132
12.360000	0.000479	0.000124
12.440000	0.000543	0.000132
12.520000	0.000319	0.000101
12.600000	0.000734	0.000153
12.680000	0.000383	0.000111
12.760000	0.000574	0.000135
12.840000	0.000447	0.000119
12.920000	0.000766	0.000156
13.000000	0.000670	0.000146
13.080000	0.000479	0.000124
13.160000	0.000638	0.000143
13.240000	0.000543	0.000132
13.320000	0.000574	0.000135
13.400000	0.000574	0.000135
13.480000	0.000574	0.000135
13.560000	0.000670	0.000146
13.640000	0.000511	0.000128
13.720000	0.000543	0.000132
13.800000	0.000543	0.000132
13.880000	0.001053	0.000183
13.960000	0.000766	0.000156
14.040000	0.000574	0.000135
14.120000	0.000479	0.000124
14.200000	0.000638	0.000143
14.280000	0.000830	0.000163
14.360000	0.000606	0.000139
14.440000	0.000702	0.000150
14.520000	0.000606	0.000139
14.600000	0.000479	0.000124
14.680000	0.000830	0.000163
14.760000	0.000862	0.000166
14.840000	0.000702	0.000150
14.920000	0.000606	0.000139
15.000000	0.000702	0.000150
15.080000	0.000479	0.000124
15.160000	0.000670	0.000146
15.240000	0.000543	0.000132
15.320000	0.000670	0.000146
15.400000	0.000606	0.000139
15.480000	0.000479	0.000124
15.560000	0.000511	0.000128
15.640000	0.000734	0.000153
15.720000	0.000543	0.000132
15.800000	0.000447	0.000119
15.880000	0.000574	0.000135
15.960000	0.000638	0.000143
16.040000	0.000702	0.000150
16.120000	0.000479	0.000124
16.200000	0.000670	0.000146
16.280000	0.000447	0.000119
16.360000	0.000606	0.000139
16.440000	0.000479	0.000124
16.520000	0.000606	0.000139
16.600000	0.000734	0.000153
16.680000	0.000638	0.000143
16.760000	0.000766	0.000156
16.840000	0.000543	0.000132
16.920000	0.000862	0.000166
17.000000	0.000702	0.000150
17.080000	0.000606	0.000139
17.160000	0.000447	0.000119
17.240000	0.000734	0.000153
17.320000	0.000670	0.000146
17.400000	0.000670	0.000146
17.480000	0.000574	0.000135
17.560000	0.000702	0.000150
17.640000	0.000894	0.000169
17.720000	0.000670	0.000146
17.800000	0.000574	0.000135
17.880000	0.000543	0.000132
17.960000	0.000702	0.000150
18.040000	0.000798	0.000160
18.120000	0.000862	0.000166
18.200000	0.000734	0.000153
18.280000	0.000894	0.000169
18.360000	0.000606	0.000139
18.440000	0.000574	0.000135
18.520000	0.000798	0.000160
18.600000	0.000926	0.000172
18.680000	0.000574	0.000135
18.760000	0.000638	0.000143
18.840000	0.000638	0.000143
18.920000	0.000638	0.000143
19.000000	0.000543	0.000132
19.080000	0.000479	0.000124
19.160000	0.000606	0.000139
19.240000	0.000926	0.000172
19.320000	0.000638	0.000143
19.400000	0.000989	0.000178
19.480000	0.000606	0.000139
19.560000	0.000638	0.000143
19.640000	0.001021	0.000181
19.720000	0.000638	0.000143
19.800000	0.000766	0.000156
19.880000	0.000479	0.000124
19.960000	0.000670	0.000146
pbar dca distribution scaled:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.013321	0.001070
0.120000	0.044777	0.001962
0.200000	0.066950	0.002399
0.280000	0.094194	0.002845
0.360000	0.110266	0.003078
0.440000	0.122298	0.003242
0.520000	0.127197	0.003306
0.600000	0.128228	0.003320
0.680000	0.126080	0.003292
0.760000	0.127541	0.003311
0.840000	0.119204	0.003201
0.920000	0.107344	0.003037
1.000000	0.097632	0.002897
1.080000	0.092905	0.002826
1.160000	0.079154	0.002608
1.240000	0.074427	0.002529
1.320000	0.063083	0.002328
1.400000	0.055434	0.002183
1.480000	0.047269	0.002016
1.560000	0.047699	0.002025
1.640000	0.041167	0.001881
1.720000	0.034292	0.001717
1.800000	0.030768	0.001626
1.880000	0.029135	0.001582
1.960000	0.027932	0.001549
2.040000	0.025096	0.001469
2.120000	0.020369	0.001323
2.200000	0.021228	0.001351
2.280000	0.018650	0.001266
2.360000	0.015642	0.001159
2.440000	0.016673	0.001197
2.520000	0.014095	0.001101
2.600000	0.012720	0.001046
2.680000	0.013321	0.001070
2.760000	0.011688	0.001002
2.840000	0.011173	0.000980
2.920000	0.011001	0.000972
3.000000	0.010485	0.000949
3.080000	0.007907	0.000824
3.160000	0.008508	0.000855
3.240000	0.006618	0.000754
3.320000	0.007735	0.000815
3.400000	0.006360	0.000739
3.480000	0.006618	0.000754
3.560000	0.006102	0.000724
3.640000	0.005586	0.000693
3.720000	0.003610	0.000557
3.800000	0.005071	0.000660
3.880000	0.004641	0.000632
3.960000	0.005157	0.000666
4.040000	0.005500	0.000688
4.120000	0.004125	0.000595
4.200000	0.003524	0.000550
4.280000	0.003953	0.000583
4.360000	0.003438	0.000544
4.440000	0.004555	0.000626
4.520000	0.002664	0.000479
4.600000	0.003094	0.000516
4.680000	0.001805	0.000394
4.760000	0.003782	0.000570
4.840000	0.003008	0.000508
4.920000	0.002320	0.000447
5.000000	0.002664	0.000479
5.080000	0.002406	0.000455
5.160000	0.001719	0.000384
