Figure 2-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign protons
-1.08<=dy<-1 	 -45<=dphi<-35 	 R2=-0.00987643
-1<=dy<-0.92 	 -45<=dphi<-35 	 R2=-0.00694588
-0.92<=dy<-0.84 	 -45<=dphi<-35 	 R2=-0.0034855
-0.84<=dy<-0.76 	 -45<=dphi<-35 	 R2=-0.0105536
-0.76<=dy<-0.68 	 -45<=dphi<-35 	 R2=-0.00431575
-0.68<=dy<-0.6 	 -45<=dphi<-35 	 R2=-0.00810183
-0.6<=dy<-0.52 	 -45<=dphi<-35 	 R2=-0.00360879
-0.52<=dy<-0.44 	 -45<=dphi<-35 	 R2=-0.00798973
-0.44<=dy<-0.36 	 -45<=dphi<-35 	 R2=-0.00375927
-0.36<=dy<-0.28 	 -45<=dphi<-35 	 R2=0.000458396
-0.28<=dy<-0.2 	 -45<=dphi<-35 	 R2=-0.0204872
-0.2<=dy<-0.12 	 -45<=dphi<-35 	 R2=-0.0230218
-0.12<=dy<-0.04 	 -45<=dphi<-35 	 R2=-0.0207271
-0.04<=dy<0.04 	 -45<=dphi<-35 	 R2=-0.00551339
0.04<=dy<0.12 	 -45<=dphi<-35 	 R2=-0.0130783
0.12<=dy<0.2 	 -45<=dphi<-35 	 R2=-0.0178667
0.2<=dy<0.28 	 -45<=dphi<-35 	 R2=-0.0187119
0.28<=dy<0.36 	 -45<=dphi<-35 	 R2=-0.0161211
0.36<=dy<0.44 	 -45<=dphi<-35 	 R2=-0.0097139
0.44<=dy<0.52 	 -45<=dphi<-35 	 R2=0.0043474
0.52<=dy<0.6 	 -45<=dphi<-35 	 R2=-0.015859
0.6<=dy<0.68 	 -45<=dphi<-35 	 R2=-0.0254831
0.68<=dy<0.76 	 -45<=dphi<-35 	 R2=-0.00552351
0.76<=dy<0.84 	 -45<=dphi<-35 	 R2=-0.0125275
0.84<=dy<0.92 	 -45<=dphi<-35 	 R2=-0.00107471
0.92<=dy<1 	 -45<=dphi<-35 	 R2=-0.0107731
1<=dy<1.08 	 -45<=dphi<-35 	 R2=0.00812532
1.08<=dy<1.16 	 -45<=dphi<-35 	 R2=-0.0604546
-1.16<=dy<-1.08 	 -35<=dphi<-25 	 R2=-0.0530534
-1.08<=dy<-1 	 -35<=dphi<-25 	 R2=-0.042757
-1<=dy<-0.92 	 -35<=dphi<-25 	 R2=0.00533038
-0.92<=dy<-0.84 	 -35<=dphi<-25 	 R2=-0.0110079
-0.84<=dy<-0.76 	 -35<=dphi<-25 	 R2=-0.0128724
-0.76<=dy<-0.68 	 -35<=dphi<-25 	 R2=-0.0255845
-0.68<=dy<-0.6 	 -35<=dphi<-25 	 R2=0.00549162
-0.6<=dy<-0.52 	 -35<=dphi<-25 	 R2=-0.0189301
-0.52<=dy<-0.44 	 -35<=dphi<-25 	 R2=-0.0122485
-0.44<=dy<-0.36 	 -35<=dphi<-25 	 R2=-0.0206608
-0.36<=dy<-0.28 	 -35<=dphi<-25 	 R2=-0.003335
-0.28<=dy<-0.2 	 -35<=dphi<-25 	 R2=-0.017651
-0.2<=dy<-0.12 	 -35<=dphi<-25 	 R2=-0.0178504
-0.12<=dy<-0.04 	 -35<=dphi<-25 	 R2=-0.0280129
-0.04<=dy<0.04 	 -35<=dphi<-25 	 R2=-0.00860978
0.04<=dy<0.12 	 -35<=dphi<-25 	 R2=-0.0228153
0.12<=dy<0.2 	 -35<=dphi<-25 	 R2=-0.0215139
0.2<=dy<0.28 	 -35<=dphi<-25 	 R2=-0.0197584
0.28<=dy<0.36 	 -35<=dphi<-25 	 R2=-0.0194977
0.36<=dy<0.44 	 -35<=dphi<-25 	 R2=-0.00566446
0.44<=dy<0.52 	 -35<=dphi<-25 	 R2=0.00426532
0.52<=dy<0.6 	 -35<=dphi<-25 	 R2=0.00334581
0.6<=dy<0.68 	 -35<=dphi<-25 	 R2=0.0102381
0.68<=dy<0.76 	 -35<=dphi<-25 	 R2=-0.00524776
0.76<=dy<0.84 	 -35<=dphi<-25 	 R2=-0.00732262
0.84<=dy<0.92 	 -35<=dphi<-25 	 R2=-0.00569799
0.92<=dy<1 	 -35<=dphi<-25 	 R2=-0.0356428
1<=dy<1.08 	 -35<=dphi<-25 	 R2=-0.000172427
1.08<=dy<1.16 	 -35<=dphi<-25 	 R2=0.0105322
-1.16<=dy<-1.08 	 -25<=dphi<-15 	 R2=-0.040933
-1.08<=dy<-1 	 -25<=dphi<-15 	 R2=0.0226417
-1<=dy<-0.92 	 -25<=dphi<-15 	 R2=0.00774572
-0.92<=dy<-0.84 	 -25<=dphi<-15 	 R2=-0.0334048
-0.84<=dy<-0.76 	 -25<=dphi<-15 	 R2=-0.0064288
-0.76<=dy<-0.68 	 -25<=dphi<-15 	 R2=-0.0167843
-0.68<=dy<-0.6 	 -25<=dphi<-15 	 R2=-0.00359597
-0.6<=dy<-0.52 	 -25<=dphi<-15 	 R2=-0.0107116
-0.52<=dy<-0.44 	 -25<=dphi<-15 	 R2=-0.0129724
-0.44<=dy<-0.36 	 -25<=dphi<-15 	 R2=-0.0104241
-0.36<=dy<-0.28 	 -25<=dphi<-15 	 R2=-0.0202522
-0.28<=dy<-0.2 	 -25<=dphi<-15 	 R2=-0.00791084
-0.2<=dy<-0.12 	 -25<=dphi<-15 	 R2=-0.0289715
-0.12<=dy<-0.04 	 -25<=dphi<-15 	 R2=-0.0177402
-0.04<=dy<0.04 	 -25<=dphi<-15 	 R2=-0.0197639
0.04<=dy<0.12 	 -25<=dphi<-15 	 R2=-0.0177402
0.12<=dy<0.2 	 -25<=dphi<-15 	 R2=-0.0289715
0.2<=dy<0.28 	 -25<=dphi<-15 	 R2=-0.0217616
0.28<=dy<0.36 	 -25<=dphi<-15 	 R2=-0.0120074
0.36<=dy<0.44 	 -25<=dphi<-15 	 R2=2.60688e-05
0.44<=dy<0.52 	 -25<=dphi<-15 	 R2=-6.08011e-05
0.52<=dy<0.6 	 -25<=dphi<-15 	 R2=0.0126152
0.6<=dy<0.68 	 -25<=dphi<-15 	 R2=0.0181766
0.68<=dy<0.76 	 -25<=dphi<-15 	 R2=0.00466486
0.76<=dy<0.84 	 -25<=dphi<-15 	 R2=0.0102695
0.84<=dy<0.92 	 -25<=dphi<-15 	 R2=0.00336856
0.92<=dy<1 	 -25<=dphi<-15 	 R2=0.0213251
1<=dy<1.08 	 -25<=dphi<-15 	 R2=0.0181057
1.08<=dy<1.16 	 -25<=dphi<-15 	 R2=-0.00818247
-1.16<=dy<-1.08 	 -15<=dphi<-5 	 R2=0.0703891
-1.08<=dy<-1 	 -15<=dphi<-5 	 R2=0.000998604
-1<=dy<-0.92 	 -15<=dphi<-5 	 R2=-0.000696474
-0.92<=dy<-0.84 	 -15<=dphi<-5 	 R2=0.0255893
-0.84<=dy<-0.76 	 -15<=dphi<-5 	 R2=0.0238246
-0.76<=dy<-0.68 	 -15<=dphi<-5 	 R2=-0.00648719
-0.68<=dy<-0.6 	 -15<=dphi<-5 	 R2=0.00238716
-0.6<=dy<-0.52 	 -15<=dphi<-5 	 R2=0.00398874
-0.52<=dy<-0.44 	 -15<=dphi<-5 	 R2=-0.0104125
-0.44<=dy<-0.36 	 -15<=dphi<-5 	 R2=-0.010342
-0.36<=dy<-0.28 	 -15<=dphi<-5 	 R2=-0.0101059
-0.28<=dy<-0.2 	 -15<=dphi<-5 	 R2=-0.0293216
-0.2<=dy<-0.12 	 -15<=dphi<-5 	 R2=-0.0198689
-0.12<=dy<-0.04 	 -15<=dphi<-5 	 R2=-0.00951
-0.04<=dy<0.04 	 -15<=dphi<-5 	 R2=-0.00478136
0.04<=dy<0.12 	 -15<=dphi<-5 	 R2=-0.00951
0.12<=dy<0.2 	 -15<=dphi<-5 	 R2=-0.0198689
0.2<=dy<0.28 	 -15<=dphi<-5 	 R2=-0.0125702
0.28<=dy<0.36 	 -15<=dphi<-5 	 R2=-0.0146789
0.36<=dy<0.44 	 -15<=dphi<-5 	 R2=-0.0086398
0.44<=dy<0.52 	 -15<=dphi<-5 	 R2=-0.0156517
0.52<=dy<0.6 	 -15<=dphi<-5 	 R2=0.00308382
0.6<=dy<0.68 	 -15<=dphi<-5 	 R2=0.0100869
0.68<=dy<0.76 	 -15<=dphi<-5 	 R2=0.00506334
0.76<=dy<0.84 	 -15<=dphi<-5 	 R2=-0.0167588
0.84<=dy<0.92 	 -15<=dphi<-5 	 R2=0.020767
0.92<=dy<1 	 -15<=dphi<-5 	 R2=0.0114222
1<=dy<1.08 	 -15<=dphi<-5 	 R2=0.0269838
1.08<=dy<1.16 	 -15<=dphi<-5 	 R2=-0.017969
-1.16<=dy<-1.08 	 -5<=dphi<5 	 R2=-0.0782967
-1.08<=dy<-1 	 -5<=dphi<5 	 R2=0.029023
-1<=dy<-0.92 	 -5<=dphi<5 	 R2=-0.00349004
-0.92<=dy<-0.84 	 -5<=dphi<5 	 R2=0.01018
-0.84<=dy<-0.76 	 -5<=dphi<5 	 R2=0.0234847
-0.76<=dy<-0.68 	 -5<=dphi<5 	 R2=0.000301305
-0.68<=dy<-0.6 	 -5<=dphi<5 	 R2=-0.00461993
-0.6<=dy<-0.52 	 -5<=dphi<5 	 R2=0.00325475
-0.52<=dy<-0.44 	 -5<=dphi<5 	 R2=-0.0104051
-0.44<=dy<-0.36 	 -5<=dphi<5 	 R2=-0.00385783
-0.36<=dy<-0.28 	 -5<=dphi<5 	 R2=-0.00842937
-0.28<=dy<-0.2 	 -5<=dphi<5 	 R2=-0.0264388
-0.2<=dy<-0.12 	 -5<=dphi<5 	 R2=-0.0107362
-0.12<=dy<-0.04 	 -5<=dphi<5 	 R2=-0.0107362
-0.04<=dy<0.04 	 -5<=dphi<5 	 R2=0.0129473
0.04<=dy<0.12 	 -5<=dphi<5 	 R2=-0.0107362
0.12<=dy<0.2 	 -5<=dphi<5 	 R2=-0.0107362
0.2<=dy<0.28 	 -5<=dphi<5 	 R2=-0.0264388
0.28<=dy<0.36 	 -5<=dphi<5 	 R2=-0.00842937
0.36<=dy<0.44 	 -5<=dphi<5 	 R2=-0.00385783
0.44<=dy<0.52 	 -5<=dphi<5 	 R2=-0.0104051
0.52<=dy<0.6 	 -5<=dphi<5 	 R2=0.00325475
0.6<=dy<0.68 	 -5<=dphi<5 	 R2=-0.00461993
0.68<=dy<0.76 	 -5<=dphi<5 	 R2=0.000301305
0.76<=dy<0.84 	 -5<=dphi<5 	 R2=0.0234847
0.84<=dy<0.92 	 -5<=dphi<5 	 R2=0.01018
0.92<=dy<1 	 -5<=dphi<5 	 R2=-0.00349004
1<=dy<1.08 	 -5<=dphi<5 	 R2=0.029023
1.08<=dy<1.16 	 -5<=dphi<5 	 R2=-0.0782967
-1.16<=dy<-1.08 	 5<=dphi<15 	 R2=-0.017969
-1.08<=dy<-1 	 5<=dphi<15 	 R2=0.0269838
-1<=dy<-0.92 	 5<=dphi<15 	 R2=0.0114222
-0.92<=dy<-0.84 	 5<=dphi<15 	 R2=0.020767
-0.84<=dy<-0.76 	 5<=dphi<15 	 R2=-0.0167588
-0.76<=dy<-0.68 	 5<=dphi<15 	 R2=0.00506334
-0.68<=dy<-0.6 	 5<=dphi<15 	 R2=0.0100869
-0.6<=dy<-0.52 	 5<=dphi<15 	 R2=0.00308382
-0.52<=dy<-0.44 	 5<=dphi<15 	 R2=-0.0156517
-0.44<=dy<-0.36 	 5<=dphi<15 	 R2=-0.0086398
-0.36<=dy<-0.28 	 5<=dphi<15 	 R2=-0.0146789
-0.28<=dy<-0.2 	 5<=dphi<15 	 R2=-0.0125702
-0.2<=dy<-0.12 	 5<=dphi<15 	 R2=-0.0198689
-0.12<=dy<-0.04 	 5<=dphi<15 	 R2=-0.00951
-0.04<=dy<0.04 	 5<=dphi<15 	 R2=-0.00478136
0.04<=dy<0.12 	 5<=dphi<15 	 R2=-0.00951
0.12<=dy<0.2 	 5<=dphi<15 	 R2=-0.0198689
0.2<=dy<0.28 	 5<=dphi<15 	 R2=-0.0293216
0.28<=dy<0.36 	 5<=dphi<15 	 R2=-0.0101059
0.36<=dy<0.44 	 5<=dphi<15 	 R2=-0.010342
0.44<=dy<0.52 	 5<=dphi<15 	 R2=-0.0104125
0.52<=dy<0.6 	 5<=dphi<15 	 R2=0.00398874
0.6<=dy<0.68 	 5<=dphi<15 	 R2=0.00238716
0.68<=dy<0.76 	 5<=dphi<15 	 R2=-0.00648719
0.76<=dy<0.84 	 5<=dphi<15 	 R2=0.0238246
0.84<=dy<0.92 	 5<=dphi<15 	 R2=0.0255893
0.92<=dy<1 	 5<=dphi<15 	 R2=-0.000696474
1<=dy<1.08 	 5<=dphi<15 	 R2=0.000998604
1.08<=dy<1.16 	 5<=dphi<15 	 R2=0.0703891
