Figure 3-1
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, like-sign kaons
-0.12<=dy<-0.04 	 -15<=dphi<-5 	 R2=0.0107455
-0.04<=dy<0.04 	 -15<=dphi<-5 	 R2=0.0108827
0.04<=dy<0.12 	 -15<=dphi<-5 	 R2=0.0107455
0.12<=dy<0.2 	 -15<=dphi<-5 	 R2=0.00322583
0.2<=dy<0.28 	 -15<=dphi<-5 	 R2=0.00597063
0.28<=dy<0.36 	 -15<=dphi<-5 	 R2=0.00827236
0.36<=dy<0.44 	 -15<=dphi<-5 	 R2=0.00567491
0.44<=dy<0.52 	 -15<=dphi<-5 	 R2=0.00702959
0.52<=dy<0.6 	 -15<=dphi<-5 	 R2=0.00971157
0.6<=dy<0.68 	 -15<=dphi<-5 	 R2=0.011833
0.68<=dy<0.76 	 -15<=dphi<-5 	 R2=0.0165881
-0.76<=dy<-0.68 	 -5<=dphi<5 	 R2=0.0280925
-0.68<=dy<-0.6 	 -5<=dphi<5 	 R2=0.0177442
-0.6<=dy<-0.52 	 -5<=dphi<5 	 R2=0.0147743
-0.52<=dy<-0.44 	 -5<=dphi<5 	 R2=0.00948706
-0.44<=dy<-0.36 	 -5<=dphi<5 	 R2=0.0107685
-0.36<=dy<-0.28 	 -5<=dphi<5 	 R2=0.0104796
-0.28<=dy<-0.2 	 -5<=dphi<5 	 R2=0.00616472
-0.2<=dy<-0.12 	 -5<=dphi<5 	 R2=0.00629375
-0.12<=dy<-0.04 	 -5<=dphi<5 	 R2=0.0119866
-0.04<=dy<0.04 	 -5<=dphi<5 	 R2=0.021165
0.04<=dy<0.12 	 -5<=dphi<5 	 R2=0.0119866
0.12<=dy<0.2 	 -5<=dphi<5 	 R2=0.00629375
0.2<=dy<0.28 	 -5<=dphi<5 	 R2=0.00616472
0.28<=dy<0.36 	 -5<=dphi<5 	 R2=0.0104796
0.36<=dy<0.44 	 -5<=dphi<5 	 R2=0.0107685
0.44<=dy<0.52 	 -5<=dphi<5 	 R2=0.00948706
0.52<=dy<0.6 	 -5<=dphi<5 	 R2=0.0147743
0.6<=dy<0.68 	 -5<=dphi<5 	 R2=0.0177442
0.68<=dy<0.76 	 -5<=dphi<5 	 R2=0.0280925
-0.76<=dy<-0.68 	 5<=dphi<15 	 R2=0.0165881
-0.68<=dy<-0.6 	 5<=dphi<15 	 R2=0.011833
-0.6<=dy<-0.52 	 5<=dphi<15 	 R2=0.00971157
-0.52<=dy<-0.44 	 5<=dphi<15 	 R2=0.00702959
-0.44<=dy<-0.36 	 5<=dphi<15 	 R2=0.00567491
-0.36<=dy<-0.28 	 5<=dphi<15 	 R2=0.00827236
-0.28<=dy<-0.2 	 5<=dphi<15 	 R2=0.00597063
-0.2<=dy<-0.12 	 5<=dphi<15 	 R2=0.00322583
-0.12<=dy<-0.04 	 5<=dphi<15 	 R2=0.0107455
-0.04<=dy<0.04 	 5<=dphi<15 	 R2=0.0108827
0.04<=dy<0.12 	 5<=dphi<15 	 R2=0.0107455
0.12<=dy<0.2 	 5<=dphi<15 	 R2=8.33344e-05
