Figure 1-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign pions
0.39<=dy<0.45 	 15<=dphi<25 	 R2=0.00343286
0.45<=dy<0.51 	 15<=dphi<25 	 R2=-0.00555755
0.51<=dy<0.57 	 15<=dphi<25 	 R2=-0.00372528
0.57<=dy<0.63 	 15<=dphi<25 	 R2=-0.0105841
0.63<=dy<0.69 	 15<=dphi<25 	 R2=-0.0173543
0.69<=dy<0.75 	 15<=dphi<25 	 R2=0.00651575
0.75<=dy<0.81 	 15<=dphi<25 	 R2=-0.00357054
-0.81<=dy<-0.75 	 25<=dphi<35 	 R2=0.00730993
-0.75<=dy<-0.69 	 25<=dphi<35 	 R2=-0.012585
-0.69<=dy<-0.63 	 25<=dphi<35 	 R2=-0.0116371
-0.63<=dy<-0.57 	 25<=dphi<35 	 R2=-0.00314497
-0.57<=dy<-0.51 	 25<=dphi<35 	 R2=-0.0101136
-0.51<=dy<-0.45 	 25<=dphi<35 	 R2=-0.00222086
-0.45<=dy<-0.39 	 25<=dphi<35 	 R2=-0.00658239
-0.39<=dy<-0.33 	 25<=dphi<35 	 R2=0.000253071
-0.33<=dy<-0.27 	 25<=dphi<35 	 R2=-0.00419221
-0.27<=dy<-0.21 	 25<=dphi<35 	 R2=-0.0121573
-0.21<=dy<-0.15 	 25<=dphi<35 	 R2=0.00179717
-0.15<=dy<-0.09 	 25<=dphi<35 	 R2=-0.0066636
-0.09<=dy<-0.03 	 25<=dphi<35 	 R2=-0.00665263
-0.03<=dy<0.03 	 25<=dphi<35 	 R2=-0.00801385
0.03<=dy<0.09 	 25<=dphi<35 	 R2=-0.00665263
0.09<=dy<0.15 	 25<=dphi<35 	 R2=-0.00333208
0.15<=dy<0.21 	 25<=dphi<35 	 R2=-0.00250725
0.21<=dy<0.27 	 25<=dphi<35 	 R2=-0.00981304
0.27<=dy<0.33 	 25<=dphi<35 	 R2=-0.00941949
0.33<=dy<0.39 	 25<=dphi<35 	 R2=-0.00899607
0.39<=dy<0.45 	 25<=dphi<35 	 R2=-0.00234074
0.45<=dy<0.51 	 25<=dphi<35 	 R2=-0.00528983
