Figure 2-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign protons
-0.84<=dy<-0.76 	 15<=dphi<25 	 R2=0.10224
-0.76<=dy<-0.68 	 15<=dphi<25 	 R2=0.00455799
-0.68<=dy<-0.6 	 15<=dphi<25 	 R2=0.0190707
-0.6<=dy<-0.52 	 15<=dphi<25 	 R2=-0.0452973
-0.52<=dy<-0.44 	 15<=dphi<25 	 R2=0.171435
-0.44<=dy<-0.36 	 15<=dphi<25 	 R2=-0.0429382
-0.36<=dy<-0.28 	 15<=dphi<25 	 R2=-0.110419
-0.28<=dy<-0.2 	 15<=dphi<25 	 R2=0.050309
-0.2<=dy<-0.12 	 15<=dphi<25 	 R2=0.175929
-0.12<=dy<-0.04 	 15<=dphi<25 	 R2=-0.038729
-0.04<=dy<0.04 	 15<=dphi<25 	 R2=-0.0598997
0.04<=dy<0.12 	 15<=dphi<25 	 R2=-0.0183707
0.12<=dy<0.2 	 15<=dphi<25 	 R2=0.175957
0.2<=dy<0.28 	 15<=dphi<25 	 R2=0.0301309
0.28<=dy<0.36 	 15<=dphi<25 	 R2=0.0765447
0.36<=dy<0.44 	 15<=dphi<25 	 R2=0.169154
0.44<=dy<0.52 	 15<=dphi<25 	 R2=-0.0741299
0.52<=dy<0.6 	 15<=dphi<25 	 R2=-0.0464647
0.6<=dy<0.68 	 15<=dphi<25 	 R2=0.129117
0.68<=dy<0.76 	 15<=dphi<25 	 R2=0.145706
0.76<=dy<0.84 	 15<=dphi<25 	 R2=0.00880916
0.84<=dy<0.92 	 15<=dphi<25 	 R2=-0.283914
0.92<=dy<1 	 15<=dphi<25 	 R2=0.0679539
1<=dy<1.08 	 15<=dphi<25 	 R2=-0.372632
1.08<=dy<1.16 	 15<=dphi<25 	 R2=1.53394
-1.16<=dy<-1.08 	 25<=dphi<35 	 R2=-0.603343
-1.08<=dy<-1 	 25<=dphi<35 	 R2=0.0979643
-1<=dy<-0.92 	 25<=dphi<35 	 R2=0.2801
-0.92<=dy<-0.84 	 25<=dphi<35 	 R2=-0.0672782
-0.84<=dy<-0.76 	 25<=dphi<35 	 R2=-0.0117367
-0.76<=dy<-0.68 	 25<=dphi<35 	 R2=0.0839053
-0.68<=dy<-0.6 	 25<=dphi<35 	 R2=0.15596
-0.6<=dy<-0.52 	 25<=dphi<35 	 R2=0.121552
-0.52<=dy<-0.44 	 25<=dphi<35 	 R2=0.0250006
-0.44<=dy<-0.36 	 25<=dphi<35 	 R2=0.00138534
-0.36<=dy<-0.28 	 25<=dphi<35 	 R2=-0.00113821
-0.28<=dy<-0.2 	 25<=dphi<35 	 R2=-0.00410117
-0.2<=dy<-0.12 	 25<=dphi<35 	 R2=0.0137636
-0.12<=dy<-0.04 	 25<=dphi<35 	 R2=-0.122679
-0.04<=dy<0.04 	 25<=dphi<35 	 R2=-0.071368
0.04<=dy<0.12 	 25<=dphi<35 	 R2=-0.158535
0.12<=dy<0.2 	 25<=dphi<35 	 R2=0.0415698
0.2<=dy<0.28 	 25<=dphi<35 	 R2=-0.00927635
0.28<=dy<0.36 	 25<=dphi<35 	 R2=-0.037962
0.36<=dy<0.44 	 25<=dphi<35 	 R2=0.0471032
0.44<=dy<0.52 	 25<=dphi<35 	 R2=-0.13748
0.52<=dy<0.6 	 25<=dphi<35 	 R2=0.0882435
0.6<=dy<0.68 	 25<=dphi<35 	 R2=-0.067162
0.68<=dy<0.76 	 25<=dphi<35 	 R2=-0.0666577
0.76<=dy<0.84 	 25<=dphi<35 	 R2=-0.000347214
0.84<=dy<0.92 	 25<=dphi<35 	 R2=-0.197866
0.92<=dy<1 	 25<=dphi<35 	 R2=-0.0892367
1<=dy<1.08 	 25<=dphi<35 	 R2=-0.0172555
1.08<=dy<1.16 	 25<=dphi<35 	 R2=0.239221
-1.16<=dy<-1.08 	 35<=dphi<45 	 R2=-0.418692
-1.08<=dy<-1 	 35<=dphi<45 	 R2=0.210205
-1<=dy<-0.92 	 35<=dphi<45 	 R2=-0.114313
-0.92<=dy<-0.84 	 35<=dphi<45 	 R2=-0.0477767
-0.84<=dy<-0.76 	 35<=dphi<45 	 R2=-0.226175
-0.76<=dy<-0.68 	 35<=dphi<45 	 R2=0.238973
-0.68<=dy<-0.6 	 35<=dphi<45 	 R2=-0.0158855
-0.6<=dy<-0.52 	 35<=dphi<45 	 R2=0.00967472
-0.52<=dy<-0.44 	 35<=dphi<45 	 R2=-0.0507543
-0.44<=dy<-0.36 	 35<=dphi<45 	 R2=0.0348212
-0.36<=dy<-0.28 	 35<=dphi<45 	 R2=0.0525652
-0.28<=dy<-0.2 	 35<=dphi<45 	 R2=0.0116062
-0.2<=dy<-0.12 	 35<=dphi<45 	 R2=-0.0127766
-0.12<=dy<-0.04 	 35<=dphi<45 	 R2=0.0199997
-0.04<=dy<0.04 	 35<=dphi<45 	 R2=0.0190187
0.04<=dy<0.12 	 35<=dphi<45 	 R2=-0.0115795
0.12<=dy<0.2 	 35<=dphi<45 	 R2=-0.0756904
0.2<=dy<0.28 	 35<=dphi<45 	 R2=0.0115519
0.28<=dy<0.36 	 35<=dphi<45 	 R2=0.081379
0.36<=dy<0.44 	 35<=dphi<45 	 R2=0.0349466
0.44<=dy<0.52 	 35<=dphi<45 	 R2=-0.227388
0.52<=dy<0.6 	 35<=dphi<45 	 R2=0.131124
0.6<=dy<0.68 	 35<=dphi<45 	 R2=-0.149586
0.68<=dy<0.76 	 35<=dphi<45 	 R2=0.160556
0.76<=dy<0.84 	 35<=dphi<45 	 R2=0.072633
0.84<=dy<0.92 	 35<=dphi<45 	 R2=0.283707
0.92<=dy<1 	 35<=dphi<45 	 R2=-0.0122551
1<=dy<1.08 	 35<=dphi<45 	 R2=-0.29553
1.08<=dy<1.16 	 35<=dphi<45 	 R2=0.574065
-1.16<=dy<-1.08 	 45<=dphi<55 	 R2=0.244774
-1.08<=dy<-1 	 45<=dphi<55 	 R2=-0.132109
-1<=dy<-0.92 	 45<=dphi<55 	 R2=-0.290379
-0.92<=dy<-0.84 	 45<=dphi<55 	 R2=-0.0160534
-0.84<=dy<-0.76 	 45<=dphi<55 	 R2=0.222057
-0.76<=dy<-0.68 	 45<=dphi<55 	 R2=0.0834705
