Figure 1-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign pions
-0.15<=dy<-0.09 	 -45<=dphi<-35 	 R2=0.00686336
-0.09<=dy<-0.03 	 -45<=dphi<-35 	 R2=-0.00558017
-0.03<=dy<0.03 	 -45<=dphi<-35 	 R2=0.00588106
0.03<=dy<0.09 	 -45<=dphi<-35 	 R2=-0.00270732
0.09<=dy<0.15 	 -45<=dphi<-35 	 R2=-0.00110518
0.15<=dy<0.21 	 -45<=dphi<-35 	 R2=0.00156671
0.21<=dy<0.27 	 -45<=dphi<-35 	 R2=0.0119181
0.27<=dy<0.33 	 -45<=dphi<-35 	 R2=0.00421785
0.33<=dy<0.39 	 -45<=dphi<-35 	 R2=0.0188031
0.39<=dy<0.45 	 -45<=dphi<-35 	 R2=-0.00413049
0.45<=dy<0.51 	 -45<=dphi<-35 	 R2=-0.000907735
0.51<=dy<0.57 	 -45<=dphi<-35 	 R2=0.000504228
0.57<=dy<0.63 	 -45<=dphi<-35 	 R2=0.00821827
0.63<=dy<0.69 	 -45<=dphi<-35 	 R2=-0.00122957
0.69<=dy<0.75 	 -45<=dphi<-35 	 R2=-0.0043991
0.75<=dy<0.81 	 -45<=dphi<-35 	 R2=-0.00328521
-0.81<=dy<-0.75 	 -35<=dphi<-25 	 R2=0.00611863
-0.75<=dy<-0.69 	 -35<=dphi<-25 	 R2=0.00798757
-0.69<=dy<-0.63 	 -35<=dphi<-25 	 R2=0.00393117
-0.63<=dy<-0.57 	 -35<=dphi<-25 	 R2=-0.00186686
-0.57<=dy<-0.51 	 -35<=dphi<-25 	 R2=-0.00422159
-0.51<=dy<-0.45 	 -35<=dphi<-25 	 R2=-0.00063025
-0.45<=dy<-0.39 	 -35<=dphi<-25 	 R2=-0.0132048
-0.39<=dy<-0.33 	 -35<=dphi<-25 	 R2=-0.00350134
-0.33<=dy<-0.27 	 -35<=dphi<-25 	 R2=-0.000660112
-0.27<=dy<-0.21 	 -35<=dphi<-25 	 R2=0.00557343
-0.21<=dy<-0.15 	 -35<=dphi<-25 	 R2=-0.00520625
-0.15<=dy<-0.09 	 -35<=dphi<-25 	 R2=0.00844014
-0.09<=dy<-0.03 	 -35<=dphi<-25 	 R2=0.00136834
-0.03<=dy<0.03 	 -35<=dphi<-25 	 R2=0.0111101
0.03<=dy<0.09 	 -35<=dphi<-25 	 R2=0.00498073
0.09<=dy<0.15 	 -35<=dphi<-25 	 R2=0.00380645
0.15<=dy<0.21 	 -35<=dphi<-25 	 R2=0.00406066
0.21<=dy<0.27 	 -35<=dphi<-25 	 R2=0.00222077
