# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# Central
0.795 0.01 0.00267897 0.000387115 0.000397162 0.00300414 0.89176 1.30925 1.71159
0.845 0.09 0.000876336 0.000117506 0.000137909 0.000641135 1.36685 1.80746 3.06352
0.945 0.11 0.000840114 9.00208e-05 0.000126864 0.000610582 1.37592 1.40703 1.59229
1.005 0.01 0.00263363 0.000248383 0.000381074 0.00274131 0.960719 1.05818 1.07791
1.0125 0.005 0.00410511 0.000335267 0.000656658 0.00549053 0.747671 1.02906 1.03379
1.02 0.01 0.00510891 0.000237278 0.000810068 0.00653965 0.781221 1.02439 1.02654
1.0375 0.025 0.00102539 0.000137186 0.00036972 0.00174121 0.588896 1.09164 1.09007
1.125 0.15 0.000370038 4.82392e-05 0.00026152 0.000285345 1.29681 1.42565 1.36854
1.3125 0.225 0.000165187 2.90723e-05 0.000113261 0.00016955 0.974269 1.30134 1.28684
1.5375 0.225 0.000121209 2.05284e-05 7.21478e-05 0.000102663 1.18065 1.19292 1.26231
1.75 0.2 9.27202e-05 1.59836e-05 3.51075e-05 6.45594e-05 1.4362 1.12718 1.24488
1.9675 0.235 5.54728e-05 1.09527e-05 1.91139e-05 4.12299e-05 1.34545 1.08441 1.23391
2.1925 0.215 3.79985e-05 8.54601e-06 1.21393e-05 2.72667e-05 1.39358 1.0524 1.22722
2.3875 0.175 2.39801e-05 7.40415e-06 9.49278e-06 2.01417e-05 1.19057 1.03227 1.21161
2.5725 0.195 2.60726e-05 5.73426e-06 6.58113e-06 1.65718e-05 1.57331 1.02021 1.1922
2.7475 0.155 2.00151e-05 5.29584e-06 6.96961e-06 1.59253e-05 1.25681 1.01099 1.14783
2.9 0.15 2.64639e-05 4.75636e-06 6.57878e-06 2.26318e-05 1.16932 1.00438 1.08258
3.0075 0.065 5.08422e-05 7.09099e-06 8.28832e-06 6.38614e-05 0.796133 1.00101 1.02496
3.045 0.01 0.000136188 2.14036e-05 1.9011e-05 0.00015426 0.882847 1.00036 1.00971
3.065 0.03 0.000260227 1.54754e-05 3.63475e-05 0.000286209 0.90922 1.0002 1.00505
