# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
3.575 0.35 3.93569e-06 1.91615e-06 5.52623e-07 4.3158e-06 0.911925 1.01116 1.42073
# pT:1.0-1.5 GeV/c
0.005 0.01 1.48371 0.00157688 0.206972 1.50392 0.986563 1.01491 1
0.015 0.01 0.422423 0.000785773 0.0589908 0.415953 1.01555 1.01173 1.00495
0.025 0.01 0.223028 0.000562637 0.031153 0.233565 0.954887 1.0209 1.00285
0.035 0.01 0.147048 0.00046855 0.0205528 0.156204 0.941384 1.03125 1.00259
0.045 0.01 0.103757 0.000410594 0.0145171 0.110046 0.942847 1.04435 1.00255
0.055 0.01 0.0778283 0.000381438 0.0108955 0.0796694 0.976891 1.05151 1.00278
0.065 0.01 0.0575995 0.000360476 0.00807555 0.0607937 0.947459 1.06751 1.00307
0.075 0.01 0.0424441 0.000346541 0.00595445 0.0427451 0.992959 1.09603 1.00357
0.085 0.01 0.0316913 0.000342058 0.00445436 0.0296347 1.0694 1.13848 1.0044
0.095 0.01 0.0221913 0.000338428 0.00313122 0.0209591 1.05879 1.19581 1.00554
0.105 0.01 0.0152847 0.000337508 0.00223875 0.0147198 1.03837 1.16221 1.00699
0.1175 0.015 0.00899637 0.00027685 0.0012746 0.0080506 1.11748 1.29643 1.0112
0.1375 0.025 0.00702155 0.000219893 0.00109272 0.0048286 1.45416 1.49414 1.01574
0.1625 0.025 0.00593649 0.00023189 0.000891836 0.00414346 1.43274 1.38844 1.01475
0.2125 0.075 0.00415556 0.000146864 0.000666342 0.00293664 1.41507 1.47701 1.01466
0.28 0.06 0.00246731 0.00018019 0.000380168 0.00203855 1.21033 1.51965 1.01476
0.375 0.13 0.00185399 0.000131731 0.000266209 0.00123179 1.50512 1.7504 1.34276
0.5 0.12 0.00130654 0.000144151 0.000198822 0.000651499 2.00544 2.33963 1.66314
0.61 0.1 0.00139327 0.000158538 0.00021244 0.000527346 2.64204 2.75415 2.86874
0.7 0.08 0.00107665 0.000173778 0.000175444 0.000514746 2.09161 3.06604 4.01657
0.76 0.04 0.00204934 0.000241607 0.00036387 0.00172186 1.19019 1.65042 2.20169
0.7825 0.005 0.00431447 0.000682632 0.000716329 0.00506624 0.851611 1.19925 1.29058
0.83 0.09 0.00119359 0.000155496 0.000176775 0.000825183 1.44645 1.71353 2.3609
0.9325 0.115 0.00101419 0.000129656 0.00022669 0.000440454 2.3026 1.61 1.55774
1 0.02 0.00155832 0.000270356 0.000229049 0.00174695 0.892022 1.12861 1.06603
1.0125 0.005 0.00449206 0.000511621 0.000633037 0.00480089 0.935671 1.03839 1.01858
1.0225 0.015 0.00442628 0.000291399 0.000632085 0.0049653 0.891442 1.03705 1.01513
1.0525 0.045 0.000459327 0.000162182 0.000150694 0.000676265 0.679211 1.27236 1.1364
1.1375 0.125 0.000370534 9.08368e-05 0.000115707 0.000256674 1.4436 1.53875 1.2612
