Print v2-spectra  
   
//-----------------------------------------------------------------------------------------  
// centrality:   
   
// beam energy:  	 7.7 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
2.265000 	 0.236059 	 0.017797 	 0.006307 	 0.003752 	 0.000806 
2.535000 	 0.230715 	 0.021919 	 0.002240 	 0.004032 	 0.000806 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.465000 	 0.007215 	 0.010481 	 0.011268 	 0.004768 	 0.000806 
0.705000 	 0.035743 	 0.010674 	 0.002315 	 0.005087 	 0.000806 
0.885000 	 0.063511 	 0.012207 	 0.000653 	 0.000601 	 0.000806 
1.155000 	 0.090456 	 0.012565 	 0.008463 	 0.004626 	 0.000806 
1.635000 	 0.187519 	 0.020504 	 0.002399 	 0.004331 	 0.000806 
   
   
// beam energy:  	 39 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.017327 	 0.001640 	 0.001998 	 0.000708 	 0.000544 
0.495000 	 0.032949 	 0.000645 	 0.001358 	 0.000562 	 0.000544 
0.705000 	 0.057930 	 0.000578 	 0.001079 	 0.000501 	 0.000544 
0.885000 	 0.089957 	 0.000621 	 0.001321 	 0.000618 	 0.000544 
1.095000 	 0.122273 	 0.000734 	 0.001315 	 0.000623 	 0.000544 
1.275000 	 0.153005 	 0.000912 	 0.001052 	 0.000502 	 0.000544 
1.485000 	 0.181775 	 0.001166 	 0.000600 	 0.000291 	 0.000544 
1.695000 	 0.205587 	 0.001536 	 0.001053 	 0.000525 	 0.000544 
1.875000 	 0.226850 	 0.002076 	 0.001123 	 0.000555 	 0.000544 
2.085000 	 0.241718 	 0.002539 	 0.000270 	 0.000164 	 0.000544 
2.295000 	 0.259529 	 0.003358 	 0.001296 	 0.000718 	 0.000544 
2.475000 	 0.254186 	 0.004596 	 0.000721 	 0.000362 	 0.000544 
2.685000 	 0.274926 	 0.006332 	 0.002565 	 0.001279 	 0.000544 
2.955000 	 0.281757 	 0.007099 	 0.000965 	 0.001806 	 0.000544 
3.345000 	 0.299217 	 0.013688 	 0.003479 	 0.005795 	 0.000544 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.011029 	 0.002545 	 0.000379 	 0.001069 	 0.000544 
0.495000 	 0.025673 	 0.001109 	 0.001592 	 0.000649 	 0.000544 
0.705000 	 0.050400 	 0.000989 	 0.001650 	 0.000736 	 0.000544 
0.885000 	 0.080205 	 0.001073 	 0.001000 	 0.000462 	 0.000544 
1.095000 	 0.115991 	 0.001292 	 0.001575 	 0.000758 	 0.000544 
1.275000 	 0.143638 	 0.001646 	 0.000992 	 0.000512 	 0.000544 
1.485000 	 0.174016 	 0.002170 	 0.000823 	 0.000389 	 0.000544 
1.695000 	 0.205972 	 0.002985 	 0.001204 	 0.000671 	 0.000544 
1.875000 	 0.227760 	 0.003625 	 0.001800 	 0.001024 	 0.000544 
2.085000 	 0.253882 	 0.004934 	 0.001239 	 0.000762 	 0.000544 
2.355000 	 0.272930 	 0.005570 	 0.002449 	 0.001558 	 0.000544 
2.805000 	 0.298666 	 0.010389 	 0.001200 	 0.002153 	 0.000544 
   
   
// beam energy:  	 62.4 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.019110 	 0.002588 	 0.001780 	 0.000616 	 0.001452 
0.495000 	 0.032319 	 0.000931 	 0.001585 	 0.000652 	 0.001452 
0.705000 	 0.058297 	 0.000808 	 0.001984 	 0.000893 	 0.001452 
0.885000 	 0.089172 	 0.000855 	 0.001811 	 0.000841 	 0.001452 
1.095000 	 0.124343 	 0.000996 	 0.001453 	 0.000687 	 0.001452 
1.275000 	 0.155709 	 0.001223 	 0.001418 	 0.000692 	 0.001452 
1.485000 	 0.185097 	 0.001549 	 0.001627 	 0.000806 	 0.001452 
1.695000 	 0.211798 	 0.002037 	 0.001297 	 0.000714 	 0.001452 
1.875000 	 0.229861 	 0.002764 	 0.001628 	 0.000916 	 0.001452 
2.085000 	 0.248513 	 0.003286 	 0.001283 	 0.000717 	 0.001452 
2.295000 	 0.256268 	 0.004365 	 0.001923 	 0.001019 	 0.001452 
2.475000 	 0.274427 	 0.006071 	 0.000811 	 0.001477 	 0.001452 
2.685000 	 0.281107 	 0.008545 	 0.000716 	 0.000615 	 0.001452 
2.955000 	 0.295072 	 0.010125 	 0.004647 	 0.002503 	 0.001452 
3.345000 	 0.286854 	 0.019744 	 0.006801 	 0.003330 	 0.001452 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.016651 	 0.003317 	 0.001857 	 0.000649 	 0.001452 
0.495000 	 0.028750 	 0.001353 	 0.002430 	 0.000999 	 0.001452 
0.705000 	 0.051979 	 0.001163 	 0.002352 	 0.001048 	 0.001452 
0.885000 	 0.085452 	 0.001237 	 0.001649 	 0.000758 	 0.001452 
1.095000 	 0.117946 	 0.001460 	 0.001665 	 0.000798 	 0.001452 
1.275000 	 0.149035 	 0.001822 	 0.000891 	 0.000818 	 0.001452 
1.485000 	 0.179829 	 0.002351 	 0.002039 	 0.000977 	 0.001452 
1.695000 	 0.206576 	 0.003166 	 0.000703 	 0.000387 	 0.001452 
1.875000 	 0.221758 	 0.003800 	 0.001734 	 0.000985 	 0.001452 
2.085000 	 0.248716 	 0.005138 	 0.000833 	 0.000446 	 0.001452 
2.295000 	 0.258421 	 0.006975 	 0.002084 	 0.001090 	 0.001452 
2.535000 	 0.277343 	 0.008622 	 0.002606 	 0.002780 	 0.001452 
3.045000 	 0.285936 	 0.016552 	 0.002586 	 0.001480 	 0.001452 
   
   
// beam energy:  	 19.6 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.014679 	 0.003246 	 0.002225 	 0.000812 	 0.000728 
0.495000 	 0.032252 	 0.001328 	 0.000687 	 0.000283 	 0.000728 
0.705000 	 0.056176 	 0.001211 	 0.001406 	 0.000651 	 0.000728 
0.885000 	 0.089474 	 0.001321 	 0.001536 	 0.000720 	 0.000728 
1.095000 	 0.119115 	 0.001589 	 0.001146 	 0.000588 	 0.000728 
1.275000 	 0.147322 	 0.002014 	 0.000086 	 0.000097 	 0.000728 
1.485000 	 0.176066 	 0.002642 	 0.000609 	 0.000291 	 0.000728 
1.695000 	 0.196203 	 0.003585 	 0.001400 	 0.000767 	 0.000728 
1.875000 	 0.226235 	 0.004977 	 0.000649 	 0.000325 	 0.000728 
2.085000 	 0.232669 	 0.006381 	 0.000795 	 0.000500 	 0.000728 
2.265000 	 0.241099 	 0.008785 	 0.001391 	 0.001082 	 0.000728 
2.535000 	 0.259582 	 0.010313 	 0.000671 	 0.001173 	 0.000728 
3.015000 	 0.303711 	 0.020246 	 0.005011 	 0.009959 	 0.000728 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.006515 	 0.008119 	 0.001941 	 0.005885 	 0.000728 
0.495000 	 0.024905 	 0.003569 	 0.000254 	 0.000611 	 0.000728 
0.705000 	 0.043330 	 0.003263 	 0.001304 	 0.000621 	 0.000728 
0.885000 	 0.064946 	 0.003642 	 0.004462 	 0.002034 	 0.000728 
1.095000 	 0.109430 	 0.004531 	 0.003377 	 0.001673 	 0.000728 
1.275000 	 0.132852 	 0.005958 	 0.004304 	 0.002098 	 0.000728 
1.485000 	 0.166042 	 0.008140 	 0.001013 	 0.002149 	 0.000728 
1.665000 	 0.177224 	 0.011687 	 0.004111 	 0.002403 	 0.000728 
1.875000 	 0.199777 	 0.014812 	 0.001697 	 0.000918 	 0.000728 
2.145000 	 0.241737 	 0.017049 	 0.002030 	 0.001139 	 0.000728 
2.625000 	 0.295131 	 0.035120 	 0.006701 	 0.011576 	 0.000728 
   
   
// beam energy:  	 27 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.013498 	 0.002188 	 0.002201 	 0.000746 	 0.000669 
0.495000 	 0.031642 	 0.000895 	 0.001077 	 0.000438 	 0.000669 
0.705000 	 0.058468 	 0.000812 	 0.001224 	 0.000546 	 0.000669 
0.885000 	 0.087564 	 0.000882 	 0.001195 	 0.000550 	 0.000669 
1.095000 	 0.122787 	 0.001054 	 0.001623 	 0.000755 	 0.000669 
1.275000 	 0.151113 	 0.001325 	 0.001101 	 0.000516 	 0.000669 
1.485000 	 0.175259 	 0.001716 	 0.000884 	 0.000417 	 0.000669 
1.695000 	 0.207410 	 0.002283 	 0.000802 	 0.000380 	 0.000669 
1.875000 	 0.219541 	 0.003098 	 0.001391 	 0.000662 	 0.000669 
2.085000 	 0.239953 	 0.003957 	 0.000577 	 0.001207 	 0.000669 
2.295000 	 0.240922 	 0.005364 	 0.000095 	 0.000177 	 0.000669 
2.475000 	 0.261432 	 0.007447 	 0.000726 	 0.000348 	 0.000669 
2.805000 	 0.280528 	 0.008140 	 0.000400 	 0.000833 	 0.000669 
3.435000 	 0.319028 	 0.023405 	 0.001384 	 0.002920 	 0.000669 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.006629 	 0.004223 	 0.001126 	 0.003339 	 0.000669 
0.495000 	 0.023749 	 0.001880 	 0.001639 	 0.000660 	 0.000669 
0.705000 	 0.045415 	 0.001708 	 0.001857 	 0.000815 	 0.000669 
0.885000 	 0.075155 	 0.001886 	 0.001713 	 0.000774 	 0.000669 
1.095000 	 0.112109 	 0.002297 	 0.002088 	 0.000955 	 0.000669 
1.275000 	 0.137055 	 0.002963 	 0.001939 	 0.000894 	 0.000669 
1.485000 	 0.169079 	 0.003925 	 0.001717 	 0.000798 	 0.000669 
1.695000 	 0.187734 	 0.005427 	 0.003117 	 0.001457 	 0.000669 
1.875000 	 0.218416 	 0.006808 	 0.002506 	 0.001177 	 0.000669 
2.085000 	 0.239201 	 0.009379 	 0.001970 	 0.000933 	 0.000669 
2.265000 	 0.242115 	 0.011772 	 0.000602 	 0.000377 	 0.000669 
2.535000 	 0.262070 	 0.015243 	 0.000320 	 0.000233 	 0.000669 
3.045000 	 0.287476 	 0.030083 	 0.006329 	 0.013385 	 0.000669 
